"","INSTNM","CITY","INSTURL","Ranking","ADM_RATE","CONTROL","HIGHDEG","FAMINC"
"110","Albany Technical College","Albany","www.albanytech.edu","> 230","NULL","Public","Associate degree","20528.653665"
"111","Albert I Prince Technical High School","Hartford","www.cttech.org/prince/","> 230","NULL","Public","Certificate degree","27603.842105"
"112","Albertus Magnus College","New Haven","www.albertus.edu","> 230","NULL","Private nonprofit","Graduate degree","46249.928307"
"113","Albion College","Albion","www.albion.edu","> 230","0.7226","Private nonprofit","Bachelor's degree","71632.281073"
"114","Albright College","Reading","www.albright.edu","> 230","0.5111","Private nonprofit","Graduate degree","61701.385162"
"115","Alcorn State University","Alcorn State","www.alcorn.edu","> 230","0.7844","Public","Graduate degree","27199.505685"
"116","Alderson Broaddus University","Philippi","www.ab.edu/","> 230","0.4138","Private nonprofit","Graduate degree","65638.097826"
"117","Alexander Academy","Lunenburg","www.alexanderacademy.com","> 230","NULL","Private for-profit","Certificate degree","18892.329412"
"118","Alexander Paul Institute of Hair Design","Greenville","www.alexanderpaul.edu","> 230","NULL","Private for-profit","Certificate degree","49064.733333"
"119","Alexandria School of Scientific Therapeutics","Alexandria","www.assti.com","> 230","NULL","Private for-profit","Certificate degree","27699.769231"
"120","Alexandria Technical & Community College","Alexandria","www.alextech.edu","> 230","NULL","Public","Associate degree","57765.79066"
"121","Alfred University","Alfred","www.alfred.edu","> 230","0.6279","Private nonprofit","Graduate degree","69323.592551"
"122","Alhambra Beauty College","Alhambra","alhambrabeauty.edu/","> 230","NULL","Private for-profit","Certificate degree","15439.3"
"123","Alhambra Medical University","Alhambra","www.amu.edu","> 230","NULL","Private for-profit","Graduate degree","31620.055556"
"124","Alice Lloyd College","Pippa Passes","www.alc.edu","> 230","0.2219","Private nonprofit","Bachelor's degree","46506.823362"
"125","All-State Career-Baltimore","Baltimore","www.allstatecareer.edu","> 230","NULL","Private for-profit","Certificate degree","18298.390783"
"126","All-State Career School-Allied Health Campus","Essington","www.allstatecareer.edu","> 230","NULL","Private for-profit","Associate degree","16917.747566"
"127","All-State Career School-Lester","Lester","www.allstatecareer.edu","> 230","NULL","Private for-profit","Certificate degree","16917.747566"
"128","All-State Career School-Pittsburgh","West Mifflin","www.allstatecareer.edu/pitt.php","> 230","NULL","Private for-profit","Certificate degree","18298.390783"
"129","All Beauty College","Kingman","www.allbeautycollege.com","> 230","NULL","Private for-profit","Certificate degree","18524.413223"
