"","INSTNM","CITY","INSTURL","Ranking","ADM_RATE","CONTROL","HIGHDEG","FAMINC"
"2769","Institute of Hair Design","Shawnee","ihdbarbercollege.com/","> 230","NULL","Private for-profit","Certificate degree","22795.823529"
"2770","Institute of Health & Technology","Hattiesburg","iht.edu","> 230","NULL","Private for-profit","Certificate degree","15952.234783"
"2771","Institute of Health Sciences","Hunt Valley","www.IOHS.org","> 230","NULL","Private for-profit","Certificate degree","35001.458015"
"2772","Institute of Medical Careers","Pittsburgh","https://www.imbc.edu","> 230","NULL","Private for-profit","Associate degree","19005.889344"
"2773","Institute of Production and Recording","Minneapolis","www.ipr.edu","> 230","NULL","Private for-profit","Associate degree","57266.637306"
"2774","Institute of Professional Careers","Las Vegas","www.ipclasvegas.com/","> 230","NULL","Private for-profit","Certificate degree","22742.714286"
"2775","Institute of Taoist Education and Acupuncture","Louisville","www.itea.edu","> 230","NULL","Private nonprofit","Graduate degree","NULL"
"2776","Institute of Technology","Clovis","www.iot.edu","> 230","NULL","Private for-profit","Associate degree","22810.740566"
"2777","Institute of Technology","Salem","www.iot.edu","> 230","NULL","Private for-profit","Certificate degree","28355.411197"
"2778","Institute of World Politics","Washington","www.iwp.edu/","> 230","NULL","Private nonprofit","Graduate degree","PrivacySuppressed"
"2779","Instituto de Banca y Comercio Inc","Guaynabo","www.ibanca.net","> 230","NULL","Private for-profit","Associate degree","6356.6867676"
"2780","Instituto de Educacion Tecnica Ocupacional La Reine-Manati","Manati","www.lareine.edu","> 230","NULL","Private for-profit","Certificate degree","4105.1352941"
"2781","Instituto Educativo Premier","Ponce","premierponce.net/","> 230","NULL","Private for-profit","Certificate degree","5419.2415541"
"2782","Instituto Tecnologico de Puerto Rico-Recinto de Guayama","Guayama","www.de.gobierno.pr/","> 230","0.7844","Public","Associate degree","12917.645256"
"2783","Instituto Tecnologico de Puerto Rico-Recinto de Manati","Manati","itec.pr/ITPR-Joomla/","> 230","0.8537","Public","Associate degree","12917.645256"
"2784","Instituto Tecnologico de Puerto Rico-Recinto de Ponce","Ponce","itec.dde.pr","> 230","0.9689","Public","Associate degree","12917.645256"
"2785","Instituto Tecnologico de Puerto Rico-Recinto de San Juan","San Juan","itec.pr/ITPR-Joomla/index.php?option=com_content&view=article&id=97&Itemid=112","> 230","0.9757","Public","Associate degree","12917.645256"
"2786","Integrity College of Health","Pasadena","www.integritycollegeofhealth.net","> 230","NULL","Private for-profit","Certificate degree","29657.337662"
"2787","Intellitec College-Colorado Springs","Colorado Springs","www.IntelliTecCollege.com","> 230","NULL","Private for-profit","Associate degree","24112.00271"
"2788","Intellitec College-Grand Junction","Grand Junction","www.intellitec.edu","> 230","NULL","Private for-profit","Associate degree","24466.695326"
"2789","Inter American University of Puerto Rico-Aguadilla","Aguadilla","www.aguadilla.inter.edu","> 230","0.4664","Private nonprofit","Graduate degree","13857.716272"
"2790","Inter American University of Puerto Rico-Arecibo","Arecibo","www.arecibo.inter.edu/portal/default.htm","> 230","0.4647","Private nonprofit","Graduate degree","13893.374334"
"2791","Inter American University of Puerto Rico-Barranquitas","Barranquitas","www.br.uipr.edu/inter/index.php/inicio.html","> 230","0.4162","Private nonprofit","Graduate degree","11647.744977"
"2792","Inter American University of Puerto Rico-Bayamon","Bayamon","bayamonweb.azurewebsites.net/","> 230","0.4266","Private nonprofit","Graduate degree","17242.726244"
"2793","Inter American University of Puerto Rico-Fajardo","Fajardo","www.fajardo.inter.edu/","> 230","0.723","Private nonprofit","Graduate degree","14832.321658"
"2794","Inter American University of Puerto Rico-Guayama","Guayama","guayama.inter.edu/","> 230","0.4902","Private nonprofit","Graduate degree","13212.336141"
"2795","Inter American University of Puerto Rico-Metro","San Juan","www.metro.inter.edu/index.asp","> 230","0.165","Private nonprofit","Graduate degree","19480.368421"
"2796","Inter American University of Puerto Rico-Ponce","Mercedita","www.ponce.inter.edu/","> 230","0.5834","Private nonprofit","Graduate degree","16473.805183"
"2797","Inter American University of Puerto Rico-San German","San German","www.sg.inter.edu/","> 230","0.691","Private nonprofit","Graduate degree","16031.450799"
"2798","Inter American University of Puerto Rico-School of Law","San Juan","www.derecho.inter.edu/inter/","> 230","NULL","Private nonprofit","Graduate degree","NULL"
"2799","Inter American University of Puerto Rico-School of Optometry","Bayamon","www.optonet.inter.edu/","> 230","NULL","Private nonprofit","Graduate degree","NULL"
"2800","Interactive College of Technology","Houston","www.ict.edu/north-houston-college/","> 230","NULL","Private for-profit","Associate degree","11530.653744"
"2801","Interactive College of Technology","Houston","www.ict.edu","> 230","NULL","Private for-profit","Associate degree","11530.653744"
"2802","Interactive College of Technology","Pasadena","www.ict.edu/pasadena-colleges-in-pasadena-tx/","> 230","NULL","Private for-profit","Associate degree","11530.653744"
"2803","Interactive College of Technology-Chamblee","Chamblee","www.ict.edu","> 230","NULL","Private for-profit","Associate degree","15671.104741"
"2804","Interactive College of Technology-Gainesville","Gainesville","www.ict.edu","> 230","NULL","Private for-profit","Associate degree","15671.104741"
"2805","Interactive College of Technology-Morrow","Morrow","ict.edu","> 230","NULL","Private for-profit","Associate degree","15671.104741"
"2806","Interactive College of Technology-Newport","Newport","www.ict.edu","> 230","NULL","Private for-profit","Associate degree","15671.104741"
"2807","InterAmerican Technical Institute","Miami","www.itischool.com","> 230","NULL","Private for-profit","Certificate degree","6534.8245614"
"2808","InterCoast Colleges-Anaheim","Anaheim","www.intercoast.edu","> 230","NULL","Private for-profit","Associate degree","20455.296813"
"2809","InterCoast Colleges-Carson","Carson","www.intercoast.edu","> 230","NULL","Private for-profit","Certificate degree","20455.296813"
"2810","InterCoast Colleges-Fairfield","Fairfield","www.intercoast.edu/","> 230","NULL","Private for-profit","Certificate degree","20455.296813"
"2811","InterCoast Colleges-Rancho Cordova","Rancho Cordova","www.intercoast.edu","> 230","NULL","Private for-profit","Associate degree","20455.296813"
"2812","InterCoast Colleges-Riverside","Riverside","www.intercoast.edu","> 230","NULL","Private for-profit","Associate degree","20455.296813"
"2813","InterCoast Colleges-Roseville","Roseville","www.intercoast.edu","> 230","NULL","Private for-profit","Certificate degree","20455.296813"
"2814","InterCoast Colleges-West Covina","W. Covina","www.intercoast.edu","> 230","NULL","Private for-profit","Associate degree","20455.296813"
"2815","Interdenominational Theological Center","Atlanta","www.itc.edu","> 230","NULL","Private nonprofit","Graduate degree","NULL"
"2816","Interior Designers Institute","Newport Beach","idi.edu","> 230","NULL","Private for-profit","Graduate degree","59331.455696"
"2817","International Academy","South Daytona","www.intl-academy.com","> 230","NULL","Private for-profit","Certificate degree","17684.649254"
"2818","International Academy of Style","Reno","www.internationalacademyofstyle.com","> 230","NULL","Private for-profit","Certificate degree","35030.409449"
"2819","International Air and Hospitality Academy","Vancouver","www.aha.edu/","> 230","NULL","Private for-profit","Certificate degree","26182.092255"
"2820","International Baptist College and Seminary","Chandler","www.ibcs.edu/ibc/","> 230","NULL","Private nonprofit","Graduate degree","36067.04"
"2821","International Beauty College","Garland","www.ibc3.edu","> 230","NULL","Private for-profit","Certificate degree","20544.468085"
"2822","International Beauty Education Center","Airway Heights","ibec.edu","> 230","NULL","Private for-profit","Certificate degree","22123.625"
"2823","International Beauty School 4","Martinsburg","www.theinternationalbeautyschool.com","> 230","NULL","Private for-profit","Certificate degree","17242.814286"
"2824","International Business College-El Paso","El Paso","www.ibcelpaso.edu","> 230","NULL","Private for-profit","Certificate degree","16451.282443"
"2825","International Business College-Fort Wayne","Fort Wayne","www.ibcfortwayne.edu","> 230","0.7892","Private for-profit","Bachelor's degree","49042.106436"
"2826","International Business College-Indianapolis","Indianapolis","www.ibcindianapolis.edu","> 230","0.7736","Private for-profit","Associate degree","49042.106436"
"2827","International College of Beauty Arts & Sciences","Los Angeles","www.icbas.edu/","> 230","NULL","Private for-profit","Certificate degree","14305.792683"
"2828","International College of Broadcasting","Dayton","www.icb.edu","> 230","NULL","Private for-profit","Associate degree","21461.333333"
"2829","International College of Cosmetology","Oakland","www.icoc.edu","> 230","NULL","Private for-profit","Certificate degree","13482.219512"
"2830","International Cosmetology Academy","Grand Rapids","www.icatoday.com","> 230","NULL","Private for-profit","Certificate degree","12460.125"
"2831","International Culinary Center-California","Campbell","www.internationalculinarycenter.com","> 230","NULL","Private for-profit","Certificate degree","42048.268"
"2832","International Diving Institute","North Charleston","www.idicharleston.edu/","> 230","NULL","Private for-profit","Certificate degree","32172.763158"
"2833","International Hair and Barber Academy","Boca Raton","www.hairandbarberacademy.com","> 230","NULL","Private for-profit","Certificate degree","22581.440678"
"2834","International Institute of Cosmetology","Wethersfield","www.studyhair.com","> 230","NULL","Private for-profit","Certificate degree","57798.81875"
"2835","International Salon and Spa Academy","Colorado Springs","www.issaco.edu","> 230","NULL","Private for-profit","Certificate degree","26986.206388"
"2836","International School of Beauty Inc","Palm Desert","internationalschoolofbeauty.com","> 230","NULL","Private for-profit","Certificate degree","26097.551587"
"2837","International School of Cosmetology-Toni & Guy Hairdressing Academy","Scottsdale","https://www.toniguy.edu/","> 230","NULL","Private for-profit","Certificate degree","33485.48172"
"2838","International School of Skin Nailcare & Massage Therapy","Atlanta","issnschoolspa.com/","> 230","NULL","Private for-profit","Certificate degree","19569.387597"
"2839","International Sports Sciences Association","Carpinteria","www.issaonline.edu/ces","> 230","NULL","Private for-profit","Associate degree","32707.365145"
"2840","International Technical College","San Juan","intecpr.com","> 230","NULL","Private for-profit","Certificate degree","3668.5847953"
"2841","International Training Careers","Miami","tufuturovale.com/spa/","> 230","NULL","Private nonprofit","Certificate degree","7072.5318182"
"2842","International Yacht Restoration School","Newport","www.iyrs.edu","> 230","1","Private nonprofit","Certificate degree","51603.493333"
"2843","Inver Hills Community College","Inver Grove Heights","https://www.inverhills.edu","> 230","NULL","Public","Associate degree","48061.86555"
"2844","Iona College","New Rochelle","www.iona.edu","> 230","0.9146","Private nonprofit","Graduate degree","86125.196888"
"2845","Iowa Central Community College","Fort Dodge","www.iowacentral.edu","> 230","NULL","Public","Associate degree","40878.992835"
"2846","Iowa Lakes Community College","Estherville","www.iowalakes.edu","> 230","NULL","Public","Associate degree","46542.760042"
"2847","Iowa School of Beauty-Des Moines","Des Moines","iowaschoolofbeauty.com","> 230","NULL","Private for-profit","Certificate degree","31215.964789"
"2848","Iowa School of Beauty-Marshalltown","Marshalltown","iowaschoolofbeauty.com","> 230","NULL","Private for-profit","Certificate degree","30528.541667"
"2849","Iowa School of Beauty-Ottumwa","Ottumwa","iowaschoolofbeauty.com","> 230","NULL","Private for-profit","Certificate degree","34478.8"
"2850","Iowa School of Beauty-Sioux City","Sioux City","iowaschoolofbeauty.com","> 230","NULL","Private for-profit","Certificate degree","22969.128205"
"2851","Iowa State University","Ames","www.iastate.edu","119","0.8749","Public","Graduate degree","88654.336736"
"2852","Iowa Wesleyan University","Mount Pleasant","https://www.iw.edu","> 230","0.5089","Private nonprofit","Bachelor's degree","46235.056604"
"2853","Iowa Western Community College","Council Bluffs","www.iwcc.edu/","> 230","NULL","Public","Associate degree","42782.27073"
"2854","Irene's Myomassology Institute","Southfield","www.irenes.edu","> 230","NULL","Private for-profit","Certificate degree","33457.589655"
"2855","Irvine Valley College","Irvine","www.ivc.edu","> 230","NULL","Public","Associate degree","23692.240525"
"2856","Isabella Graham Hart School of Practical Nursing","Rochester","www.rochesterregional.org/for-healthcare-professionals/residency-training-programs/igh-school-of-practical-nursing/","> 230","NULL","Private nonprofit","Certificate degree","43173.174603"
"2857","Island Drafting and Technical Institute","Amityville","www.idti.edu","> 230","NULL","Private for-profit","Associate degree","66795.38"
"2858","Isothermal Community College","Spindale","https://www.isothermal.edu","> 230","NULL","Public","Associate degree","22156.144099"
"2859","Itasca Community College","Grand Rapids","www.itascacc.edu/","> 230","NULL","Public","Associate degree","44055.81901"
"2860","Itawamba Community College","Fulton","www.iccms.edu","> 230","NULL","Public","Associate degree","27456.243623"
"2861","Ithaca College","Ithaca","www.ithaca.edu","> 230","0.6992","Private nonprofit","Graduate degree","107970.47027"
"2862","ITI Technical College","Baton Rouge","www.iticollege.edu","> 230","NULL","Private for-profit","Associate degree","43045.157186"
"2863","IVAEM College","Caguas","www.ivaempr.com","> 230","NULL","Private for-profit","Certificate degree","7217.2150538"
"2864","Ivy Tech Community College","Indianapolis","www.ivytech.edu","> 230","NULL","Public","Associate degree","31666.246617"
"2865","J F Ingram State Technical College","Deatsville","www.istc.edu","> 230","NULL","Public","Certificate degree","321.3853211"
"2866","J Michael Harrold Beauty Academy","Terre Haute","harroldbeautyacademy.com","> 230","NULL","Private for-profit","Certificate degree","24096.935065"
"2867","J Renee College","Elgin","www.JRenee.edu","> 230","NULL","Private for-profit","Certificate degree","31749.320611"
"2868","J Sargeant Reynolds Community College","Richmond","www.reynolds.edu","> 230","NULL","Public","Associate degree","27604.98975"
"2869","J. F. Drake State Community and Technical College","Huntsville","www.drakestate.edu","> 230","NULL","Public","Associate degree","16557.179487"
"2870","Jackson College","Jackson","www.jccmi.edu","> 230","NULL","Public","Associate degree","30458.658537"
"2871","Jackson State Community College","Jackson","www.jscc.edu","> 230","NULL","Public","Associate degree","21478.522186"
"2872","Jackson State University","Jackson","www.jsums.edu","> 230","0.6332","Public","Graduate degree","29550.154482"
"2873","Jacksonville Beauty Institute","Jacksonville","www.jacksonvillebeautyinstitute.edu","> 230","NULL","Private for-profit","Certificate degree","10678.935714"
"2874","Jacksonville College-Main Campus","Jacksonville","www.jacksonville-college.edu","> 230","NULL","Private nonprofit","Associate degree","28088.692913"
"2875","Jacksonville State University","Jacksonville","www.jsu.edu/","> 230","0.5308","Public","Graduate degree","48404.346827"
"2876","Jacksonville University","Jacksonville","www.ju.edu/index.php","> 230","0.4918","Private nonprofit","Graduate degree","63343.088351"
"2877","James A Rhodes State College","Lima","www.rhodesstate.edu","> 230","NULL","Public","Associate degree","41844.523662"
"2878","James Madison University","Harrisonburg","www.jmu.edu/","> 230","0.7213","Public","Graduate degree","104966.62962"
"2879","James Rumsey Technical Institute","Martinsburg","www.jamesrumsey.com","> 230","NULL","Public","Certificate degree","21474.525547"
"2880","James Sprunt Community College","Kenansville","www.jamessprunt.edu","> 230","NULL","Public","Associate degree","19861.087041"
"2881","Jameson Health System","New Castle","upmcjameson.com/careers-education/education-training/school-of-nursing/","> 230","NULL","Private nonprofit","Certificate degree","56267.212121"
"2882","Jamestown Business College","Jamestown","www.jbc.edu","> 230","0.8133","Private for-profit","Bachelor's degree","24774.422053"
"2883","Jamestown Community College","Jamestown","www.sunyjcc.edu","> 230","NULL","Public","Associate degree","38700.261307"
"2884","Jarvis Christian College","Hawkins","www.jarvis.edu","> 230","NULL","Private nonprofit","Bachelor's degree","27127.906977"
"2885","Jay's Technical Institute","Houston","jtisite.wix.com/jaysbarberandbeauty","> 230","NULL","Private for-profit","Certificate degree","9795.3937824"
"2886","JB's Hair Design and Barber College","Oklahoma City","www.jbsbarbercollege.org","> 230","NULL","Private for-profit","Certificate degree","14223.571429"
"2887","Jean Madeline Aveda Institute","Philadelphia","jeanmadeline.edu","> 230","NULL","Private for-profit","Certificate degree","48358.52994"
"2888","Jefferson (Philadelphia University + Thomas Jefferson University)","Philadelphia","www.philau.edu","> 230","0.6068","Private nonprofit","Graduate degree","69899.027197"
"2889","Jefferson College","Hillsboro","www.jeffco.edu","> 230","NULL","Public","Associate degree","34927.36186"
"2890","Jefferson College of Health Sciences","Roanoke","www.jchs.edu","> 230","NULL","Private nonprofit","Graduate degree","58192.784708"
"2891","Jefferson Community and Technical College","Louisville","www.jefferson.kctcs.edu","> 230","NULL","Public","Associate degree","28529.311991"
"2892","Jefferson Community College","Watertown","www.sunyjefferson.edu","> 230","NULL","Public","Associate degree","36995.016028"
"2893","Jefferson County Dubois Area Vocational Technical Practical Nursing Program","Reynoldsville","www.jefftech.us","> 230","1","Public","Certificate degree","44501.088235"
"2894","Jefferson Davis Community College","Brewton","www.coastalalabama.edu","> 230","NULL","Public","Associate degree","19863.224599"
"2895","Jefferson Lewis BOCES-Practical Nursing Program","Watertown","www.boces.com","> 230","0.7037","Public","Certificate degree","31295.228346"
"2896","Jefferson Regional Medical Center School of Nursing","Pine Bluff","www.jrmc.org","> 230","NULL","Private nonprofit","Associate degree","40192.127907"
"2897","Jefferson State Community College","Birmingham","www.jeffersonstate.edu/","> 230","NULL","Public","Associate degree","36652.478692"
"2898","Jenks Beauty College","Jenks","jenksbeautycollege.com","> 230","NULL","Private for-profit","Certificate degree","25426.925926"
"2899","Jenny Lea Academy of Cosmetology","Whitesburg","www.jennyleaacademy.com","> 230","NULL","Private for-profit","Certificate degree","12561.90625"
"2900","Jenny Lea Academy of Cosmetology","Johnson City","www.jennyleaacademy.com","> 230","NULL","Private for-profit","Certificate degree","19263.863946"
"2901","Jersey College","Teterboro","www.jerseycollege.edu","> 230","0.7108","Private for-profit","Associate degree","37827.38146"
"2902","Jewish Theological Seminary of America","New York","www.jtsa.edu","> 230","0.5726","Private nonprofit","Graduate degree","174263.25"
"2903","JFK Muhlenberg Harold B & Dorothy A Snyder Schools-School of Nursing","Plainfield","www.jfkmuhlenbergschools.org","> 230","0.6","Private nonprofit","Certificate degree","44049.069343"
"2904","Jna Institute of Culinary Arts","Philadelphia","www.culinaryarts.edu","> 230","NULL","Private for-profit","Associate degree","20972.290323"
"2905","Joe Kubert School of Cartoon and Graphic Art","Dover","kubertschool.edu","> 230","0.7312","Private for-profit","Certificate degree","52167.181818"
"2906","Joffrey Ballet School","New York","www.joffreyballetschool.com","> 230","0.3138","Private for-profit","Certificate degree","82930.253968"
"2907","John A Gupton College","Nashville","www.guptoncollege.edu","> 230","0.6842","Private nonprofit","Associate degree","38543.806452"
"2908","John A Logan College","Carterville","https://www.jalc.edu","> 230","NULL","Public","Associate degree","20380.570159"
"2909","John Amico School of Hair Design","Oak Forest","https://www.johnamicoschoolofhairdesign.com","> 230","NULL","Private for-profit","Certificate degree","20829.036364"
"2910","John Brown University","Siloam Springs","www.jbu.edu","> 230","0.7711","Private nonprofit","Graduate degree","69960.702597"
"2911","John C Calhoun State Community College","Tanner","calhoun.edu/","> 230","NULL","Public","Associate degree","37220.18136"
"2912","John Carroll University","University Heights","sites.jcu.edu/","> 230","0.8299","Private nonprofit","Graduate degree","111359.96044"
"2913","John D Rockefeller IV Career Center","New Cumberland","www.jdrcc.org","> 230","NULL","Public","Certificate degree","26101.421053"
"2914","John F. Kennedy University","Pleasant Hill","https://www.jfku.edu","> 230","NULL","Private nonprofit","Graduate degree","35941.785714"
"2915","John Jay Beauty College","New Orleans","johnjaybeauty.com","> 230","NULL","Private for-profit","Certificate degree","19129.076923"
"2916","John Jay Beauty College","Kenner","www.johnjaybeauty.com","> 230","NULL","Private for-profit","Certificate degree","17675.421053"
"2917","John Paolo's Xtreme Beauty Institute-Goldwell Product Artistry","Ballston Spa","www.johnpaolo.edu","> 230","NULL","Private for-profit","Certificate degree","35524.289855"
"2918","John Paul the Great Catholic University","Escondido","https://jpcatholic.edu/","> 230","0.9804","Private nonprofit","Graduate degree","95149.678571"
"2919","John Tyler Community College","Chester","https://jtcc.edu","> 230","NULL","Public","Associate degree","34518.386926"
"2920","John Wesley International Barber and Beauty College","Long Beach","johnwesleybarberandbeauty.com","> 230","NULL","Private for-profit","Certificate degree","11902.858156"
"2921","John Wesley University","High Point","www.johnwesley.edu","> 230","0.3939","Private nonprofit","Graduate degree","50648.972973"
"2922","John Wood Community College","Quincy","www.jwcc.edu","> 230","NULL","Public","Associate degree","37691.910917"
"2923","Johns Hopkins University","Baltimore","www.jhu.edu","10","0.1284","Private nonprofit","Graduate degree","104767.69735"
"2924","Johnson & Wales University-Charlotte","Charlotte","www.jwu.edu/campuses/charlotte/index.html","> 230","0.8174","Private nonprofit","Bachelor's degree","61769.140971"
"2925","Johnson & Wales University-Denver","Denver","www.jwu.edu/campuses/denver/index.html","> 230","0.8521","Private nonprofit","Graduate degree","61769.140971"
"2926","Johnson & Wales University-North Miami","North Miami","www.jwu.edu/campuses/north-miami/index.html","> 230","0.8147","Private nonprofit","Bachelor's degree","61769.140971"
"2927","Johnson & Wales University-Online","Providence","online.jwu.edu/?_ga=2.244666885.1432107725.1502198571-1382828486.1499961993","> 230","0.4483","Private nonprofit","Graduate degree","61769.140971"
"2928","Johnson & Wales University-Providence","Providence","www.jwu.edu/campuses/providence/index.html","> 230","0.884","Private nonprofit","Graduate degree","61769.140971"
"2929","Johnson C Smith University","Charlotte","www.jcsu.edu","> 230","0.453","Private nonprofit","Graduate degree","37459.703743"
"2930","Johnson College","Scranton","www.johnson.edu","> 230","0.5962","Private nonprofit","Associate degree","47039.721868"
"2931","Johnson County Community College","Overland Park","www.jccc.edu","> 230","NULL","Public","Associate degree","40837.792329"
"2932","Johnson State College","Johnson","www.jsc.edu","> 230","0.9509","Public","Graduate degree","49487.737113"
"2933","Johnson University","Knoxville","www.johnsonu.edu/Home.aspx","> 230","0.4703","Private nonprofit","Graduate degree","60421.101338"
"2934","Johnson University Florida","Kissimmee","www.johnsonu.edu/Florida/Home.aspx","> 230","0.6164","Private nonprofit","Bachelor's degree","60421.101338"
"2935","Johnston Community College","Smithfield","www.johnstoncc.edu","> 230","NULL","Public","Associate degree","22604.476056"
"2936","Jolie Hair and Beauty Academy-Hazleton","Hazleton","www.jolieacademy.com","> 230","NULL","Private for-profit","Certificate degree","20947.113553"
"2937","Jolie Hair and Beauty Academy-Ludlow","Ludlow","JolieAcademy.com","> 230","NULL","Private for-profit","Certificate degree","28255.628272"
"2938","Jolie Hair and Beauty Academy-Northfield","Northfield","www.jolieacademy.com","> 230","NULL","Private for-profit","Certificate degree","20947.113553"
"2939","Jolie Hair and Beauty Academy-Wilkes-Barre","Wilkes Barre","www.jolieacademy.com","> 230","NULL","Private for-profit","Certificate degree","26288.624633"
"2940","Jolie Health & Beauty Academy-Cherry Hill","Cherry Hill","JolieAcademy.com","> 230","NULL","Private for-profit","Certificate degree","20947.113553"
"2941","Jolie Health and Beauty Academy-Turnersville","Turnersville","www.jolieacademy.com","> 230","NULL","Private for-profit","Certificate degree","26288.624633"
"2942","Joliet Junior College","Joliet","www.jjc.edu","> 230","NULL","Public","Associate degree","37693.06075"
"2943","Jones College-Jacksonville","Jacksonville","www.jones.edu","> 230","NULL","Private nonprofit","Bachelor's degree","16084.284314"
"2944","Jones County Junior College","Ellisville","www.jcjc.edu","> 230","NULL","Public","Associate degree","27887.507755"
"2945","Jones Hair Design College","Carthage","www.joneshairdesigncollege.com","> 230","NULL","Private for-profit","Certificate degree","9347"
"2946","Jose Maria Vargas University","Pembroke Pines","www.jmvu.edu/","> 230","NULL","Private for-profit","Graduate degree","30045.647059"
"2947","Josef's School of Hair Design Inc-Fargo Downtown","Fargo","jsohd.com","> 230","NULL","Private for-profit","Certificate degree","45586.204082"
"2948","Josef's School of Hair Design Inc-Grand Forks","Grand Forks","jsohd.com","> 230","NULL","Private for-profit","Certificate degree","38987.697143"
"2949","Josef's West Academy","Fargo","jsohd.com","> 230","NULL","Private for-profit","Certificate degree","38987.697143"
"2950","Joseph's College Cosmetology","Lincoln","josephscollege.edu","> 230","NULL","Private for-profit","Certificate degree","29734.258503"
"2951","Judson College","Marion","www.judson.edu","> 230","0.5755","Private nonprofit","Bachelor's degree","28123.817955"
"2952","Judson University","Elgin","www.judsonu.edu","> 230","0.7485","Private nonprofit","Graduate degree","60705.377897"
"2953","Jung Tao School of Classical Chinese Medicine","Sugar Grove","www.jungtao.edu","> 230","NULL","Private nonprofit","Graduate degree","NULL"
"2954","Juniata College","Huntingdon","www.juniata.edu","> 230","0.746","Private nonprofit","Graduate degree","93242.779863"
"2955","Jupiter Beauty Academy","Boston","www.jba.edu","> 230","NULL","Private for-profit","Certificate degree","10489.9375"
"2956","JZ Trend Academy Paul Mitchell Partner School","Bismarck","paulmitchell.edu/bismarck/","> 230","NULL","Private for-profit","Certificate degree","40573.513514"
"2957","K & G 5 Star Barber College","League City","www.kandgbarbercollege.com","> 230","NULL","Private for-profit","Certificate degree","28018.489796"
"2958","Kaizen Beauty Academy","Pembroke Pines","www.kba.edu","> 230","NULL","Private for-profit","Certificate degree","31729.575"
"2959","Kalamazoo College","Kalamazoo","www.kzoo.edu","> 230","0.6566","Private nonprofit","Bachelor's degree","98624.559036"
"2960","Kalamazoo Valley Community College","Kalamazoo","https://www.kvcc.edu","> 230","NULL","Public","Associate degree","35965.23549"
"2961","Kankakee Community College","Kankakee","www.kcc.edu","> 230","NULL","Public","Associate degree","29424.317771"
"2962","Kansas Christian College","Overland Park","www.kansaschristian.edu","> 230","NULL","Private nonprofit","Bachelor's degree","25150.40678"
"2963","Kansas City Art Institute","Kansas City","www.kcai.edu","> 230","0.6504","Private nonprofit","Bachelor's degree","68316.442577"
"2964","Kansas City Kansas Community College","Kansas City","www.kckcc.edu","> 230","NULL","Public","Associate degree","28794.074174"
"2965","Kansas City University of Medicine and Biosciences","Kansas City","www.kcumb.edu","> 230","NULL","Private nonprofit","Graduate degree","NULL"
"2966","Kansas State University","Manhattan","www.k-state.edu","147","0.9407","Public","Graduate degree","79635.282792"
"2967","Kansas Wesleyan University","Salina","www.kwu.edu","> 230","0.5466","Private nonprofit","Graduate degree","64683.808679"
"2968","Kapiolani Community College","Honolulu","https://www.kapiolani.hawaii.edu","> 230","NULL","Public","Associate degree","32399.418693"
"2969","Kaplan College-Lubbock","Lubbock","www.kaplancollege.com/lubbock-tx/","> 230","NULL","Private for-profit","Associate degree","21428.103862"
"2970","Kaplan University-Augusta Campus","Augusta","www.kaplanuniversity.edu/augusta-maine.aspx","> 230","NULL","Private for-profit","Graduate degree","25167.426845"
"2971","Kaplan University-Cedar Falls Campus","Cedar Falls","www.kaplanuniversity.edu/cedar-falls-iowa.aspx","> 230","NULL","Private for-profit","Graduate degree","25167.426845"
"2972","Kaplan University-Cedar Rapids Campus","Cedar Rapids","www.kaplanuniversity.edu/cedar-rapids-iowa.aspx","> 230","NULL","Private for-profit","Graduate degree","25167.426845"
"2973","Kaplan University-Davenport Campus","Davenport","www.kaplanuniversity.edu/home.aspx","> 230","NULL","Private for-profit","Graduate degree","25167.426845"
"2974","Kaplan University-Des Moines Campus","Urbandale","www.kaplanuniversity.edu/des-moines-iowa.aspx","> 230","NULL","Private for-profit","Graduate degree","25167.426845"
"2975","Kaplan University-Hagerstown Campus","Hagerstown","www.kaplanuniversity.edu/hagerstown-maryland.aspx","> 230","NULL","Private for-profit","Graduate degree","25167.426845"
"2976","Kaplan University-Indianapolis","Indianapolis","www.kaplanuniversity.edu","> 230","NULL","Private for-profit","Non-degree-granting","25167.426845"
"2977","Kaplan University-Lincoln Campus","Lincoln","www.kaplanuniversity.edu/lincoln-nebraska.aspx","> 230","NULL","Private for-profit","Graduate degree","25167.426845"
"2978","Kaplan University-Maine Campus","S Portland","https://www.kaplanuniversity.edu","> 230","NULL","Private for-profit","Graduate degree","25167.426845"
"2979","Kaplan University-Mason City Campus","Mason City","masoncity.kaplanuniversity.edu/Pages/Homepage.aspx","> 230","NULL","Private for-profit","Graduate degree","25167.426845"
"2980","Kaplan University-Milwaukee","Milwaukee","www.kaplanuniversity.edu","> 230","NULL","Private for-profit","Non-degree-granting","25167.426845"
"2981","Kaplan University-Omaha Campus","Omaha","www.kaplanuniversity.edu/omaha-nebraska.aspx?wid=1","> 230","NULL","Private for-profit","Graduate degree","25167.426845"
"2982","Kaskaskia College","Centralia","www.kaskaskia.edu","> 230","NULL","Public","Associate degree","24190.53486"
"2983","Kauai Community College","Lihue","www.kauai.hawaii.edu","> 230","NULL","Public","Associate degree","28578.63147"
"2984","KC's School of Hair Design","Pontotoc","www.kcsschoolofhair.com","> 230","NULL","Private for-profit","Certificate degree","24248.672131"
