"","INSTNM","Total","crime"
"259","Citrus College",13263,2
"260","Citrus Heights Beauty College",92,0
"261","City College of San Francisco",26299,18
"262","Claremont Graduate University",1913,5
"263","Claremont McKenna College",1345,28
"264","Milan Institute-Visalia",286,0
"265","Clovis Adult Education",792,0
"266","Coastline Community College",11172,1
"267","Cogswell College",608,12
"268","Coba Academy",61,0
"269","Western University of Health Sciences",3847,4
"270","Columbia College",2545,2
"271","Columbia College Hollywood",453,1
"272","El Camino College-Compton Center",7422,6
"273","Contra Costa College",6727,8
"274","Cosumnes River College",14120,8
"275","Crafton Hills College",6251,1
"276","Cuesta College",10836,0
"277","Cuyamaca College",9424,2
"278","Cypress College",15673,11
"279","De Anza College",20674,5
"280","International School of Beauty Inc",159,0
"281","Dell'Arte International School of Physical Theatre",47,0
"282","College of the Desert",11146,6
"283","Design Institute of San Diego",126,0
"284","Diablo Valley College",19775,8
"285","Dominican University of California",1744,8
"286","Dominican School of Philosophy & Theology",61,0
"287","East Los Angeles College",34578,12
"288","El Camino Community College District",24349,13
"289","Elegance International",354,0
"290","Emperor's College of Traditional Oriental Medicine",189,0
"291","Empire College",433,0
"292","Evergreen Valley College",9575,5
"293","FIDM-Fashion Institute of Design & Merchandising-Los Angeles",2384,0
"294","FIDM-Fashion Institute of Design & Merchandising-San Francisco",279,0
"295","FIDM-Fashion Institute of Design & Merchandising-Orange County",71,0
"296","Feather River Community College District",2151,0
"297","Federico Beauty Institute",253,0
"298","Fielding Graduate University",957,0
"299","Five Branches University",305,1
"300","Redondo Beach Beauty College",27,0
"301","Foothill College",15697,2
"302","Franciscan School of Theology",44,0
"303","Fredrick and Charles Beauty College",61,0
"304","Fresno City College",22771,46
"305","Fresno Pacific University",4105,1
"306","Fuller Theological Seminary",2463,4
"307","Fullerton College",24124,3
"308","Gavilan College",5995,13
"309","Gemological Institute of America-Carlsbad",203,0
"310","Glendale Community College",14598,8
"311","Glendale Career College",507,0
"312","Golden Gate University-San Francisco",2592,5
"313","Golden West College",11610,7
"314","Graduate Theological Union",192,2
"315","Grossmont College",18288,6
"316","Salon Success Academy-Riverside",61,0
"317","Hartnell College",12072,5
"318","Harvey Mudd College",861,9
"319","Hilltop Beauty School",110,0
"320","Holy Names University",884,4
"321","Pacifica Graduate Institute",852,0
"322","Humboldt State University",8525,17
"323","Humphreys University-Stockton and Modesto Campuses",421,0
"324","Imperial Valley College",8449,3
"325","Institute for Business and Technology",587,0
"326","Interior Designers Institute",208,0
"327","Toni & Guy Hairdressing Academy-Santa Monica",222,0
"328","Irvine Valley College",13395,2
"329","Bellus Academy-El Cajon",155,1
"330","John F. Kennedy University",815,2
"331","American Jewish University",153,0
"332","Reedley College",10562,6
"333","Life Pacific College",581,0
"334","Argosy University-The Art Institute of California-San Diego",846,0
"335","University of La Verne",8159,14
"336","Laguna College of Art and Design",688,0
"337","Lake Tahoe Community College",2108,0
"338","Lancaster Beauty School",117,0
"339","Laney College",10891,17
"340","Lassen Community College",2484,1
"341","Life Chiropractic College West",620,7
"342","Lincoln University",659,44
"343","Southern California Seminary",206,0
"344","La Sierra University",2449,4
"345","Loma Linda University",4417,14
"346","Long Beach City College",24658,18
"347","Southern California University of Health Sciences",1096,0
"348","Los Angeles Harbor College",8861,9
"349","Los Angeles Pierce College",17655,9
"350","Los Angeles Southwest College",5848,3
"351","Los Angeles Trade Technical College",12984,12
"352","Los Angeles Valley College",15648,12
"353","The Master's University and Seminary",1946,1
"354","Los Angeles City College",13827,11
"355","Los Angeles County College of Nursing and Allied Health",208,0
"356","Los Angeles Mission College",9765,1
"357","Los Medanos College",9048,25
"358","Argosy University-The Art Institute of California-San Francisco",472,0
"359","Loyola Marymount University",9618,36
"360","Lu Ross Academy",217,0
"361","Lyle's College of  Beauty",69,0
"362","Lytles Redwood Empire Beauty College Inc",158,0
"363","MTI Business College Inc",75,0
"364","MTI College",781,0
"365","Brightwood College-Sacramento",319,0
"366","Brightwood College-San Diego",912,0
"367","Brightwood College-Vista",495,0
"368","College of Marin",5749,2
"369","Marymount California University",967,0
"370","Mendocino College",3870,10
"371","Menlo College",744,2
"372","Merced College",10912,4
"373","Merritt College",6952,4
"374","Mills College",1310,19
"375","MiraCosta College",14617,2
"376","Mission College",7420,7
"377","Modern Beauty Academy",40,0
"378","Brightwood College-Los Angeles-Van Nuys",623,0
"379","Modesto Junior College",17880,10
"380","Moler Barber College",206,0
"381","Middlebury Institute of International Studies at Monterey",754,0
"382","Monterey Peninsula College",7816,4
"383","Moorpark College",14343,1
"384","Mt San Antonio College",29960,16
"385","Mount Saint Mary's University",3226,4
"386","Mt San Jacinto Community College District",15718,14
"387","Musicians Institute",990,0
"388","Napa Valley College",6076,1
"389","National Holistic Institute",954,3
"390","National University",17097,2
"391","Newschool of Architecture and Design",554,0
"392","Newberry School of Beauty",134,0
"393","North Adrian's College of Beauty Inc",177,0
"394","North-West College-Pomona",302,0
"395","North-West College-West Covina",635,0
"396","North-West College-Pasadena",166,0
"397","Notre Dame de Namur University",1605,0
"398","Occidental College",1972,23
"399","Ohlone College",9273,3
"400","Orange Coast College",22156,9
"401","Otis College of Art and Design",1115,0
"402","Oxnard College",7451,12
"403","Hope International University",1373,0
"404","Concorde Career College-San Diego",581,0
"405","Palo Alto University",1074,0
"406","Pacific Oaks College",1100,1
"407","Pacific School of Religion",110,2
"408","Pacific States University",56,0
"409","Pacific Union College",1229,6
"410","University of the Pacific",6255,15
"411","Palo Verde College",4041,0
"412","Palomar College",23848,11
"413","Pasadena City College",27324,17
"414","Pepperdine University",7710,18
"415","Pitzer College",1074,16
"416","Platt College-San Diego",178,0
"417","Point Loma Nazarene University",4417,2
"418","Pomona College",1599,14
"419","Porterville College",4054,9
"420","Professional Institute of Beauty",88,0
"421","Santa Ana College",28083,11
"422","Pardee RAND Graduate School",104,0
