"","INSTNM","Total","crime"
"3287","Tennessee College of Applied Technology-Knoxville",1137,0
"3288","Tennessee College of Applied Technology-Whiteville",278,0
"3289","Pellissippi State Community College",11168,2
"3290","Southern Adventist University",3035,6
"3291","Southern College of Optometry",534,0
"3292","Tennessee Wesleyan University",951,3
"3293","The University of Tennessee-Chattanooga",11587,40
"3294","The University of Tennessee-Knoxville",28321,94
"3295","The University of Tennessee-Martin",6772,5
"3296","Fountainhead College of Technology",88,0
"3297","Tennessee School of Beauty of Knoxville Inc",268,0
"3298","Tennessee State University",8177,12
"3299","Tennessee Technological University",10504,17
"3300","Trevecca Nazarene University",3620,4
"3301","Northeast State Community College",6088,1
"3302","Tusculum College",1767,5
"3303","Union University",3377,4
"3304","Vanderbilt University",12592,60
"3305","Volunteer State Community College",8838,3
"3306","Walters State Community College",6075,1
"3307","West Tennessee Business College",191,0
"3308","William Moore College of Technology",264,0
"3309","Abilene Christian University",5145,14
"3310","Alvin Community College",5785,2
"3311","Amarillo College",10259,1
"3312","Amberton University",1257,0
"3313","Angelina College",5215,1
"3314","Angelo State University",10417,9
"3315","Arlington Baptist University",173,0
"3316","Arlington Career Institute",232,0
"3317","The Art Institute of Houston",1096,0
"3318","Austin College",1228,17
"3319","Austin Community College District",40803,22
"3320","Austin Presbyterian Theological Seminary",158,1
"3321","Baldwin Beauty School-South Austin",77,0
"3322","Baptist Health System School of Health Professions",665,1
"3323","Baptist Missionary Association Theological Seminary",161,1
"3324","Baylor College of Medicine",1585,0
"3325","Baylor University",17059,42
"3326","Coastal Bend College",4463,0
"3327","Blinn College",19476,2
"3328","Remington College-Dallas Campus",971,0
"3329","Vet Tech Institute of Houston",191,0
"3330","Brazosport College",4245,0
"3331","Brookhaven College",13286,1
"3332","Cedar Valley College",7443,3
"3333","Central Texas College",15672,1
"3334","Charles and Sues School of Hair Design",24,0
"3335","Cisco College",3279,2
"3336","Clarendon College",1648,1
"3337","Concordia University Texas",2620,1
"3338","Conlee's College of Cosmetology",12,0
"3339","North Central Texas College",10327,1
"3340","Texas A & M University-Corpus Christi",12232,10
"3341","Cosmetology Career Center LLC",303,1
"3342","Dallas Baptist University",5067,0
"3343","Dallas Christian College",231,0
"3344","Dallas Institute of Funeral Service",111,0
"3345","Dallas Theological Seminary",2369,2
"3346","University of Dallas",2510,13
"3347","Del Mar College",11476,5
"3348","East Texas Baptist University",1533,10
"3349","Texas A&M University-Texarkana",2066,3
"3350","Texas A & M University-Commerce",13244,44
"3351","Eastfield College",16196,1
"3352","El Centro College",10797,0
"3353","El Paso Community College",28750,3
"3354","Western Technical College",489,1
"3355","Western Technical College",1042,1
"3356","Episcopal Theological Seminary of the Southwest",116,0
"3357","Exposito School of Hair Design",38,0
"3358","South University-The Art Institute of Dallas",758,0
"3359","Fort Worth Beauty School",40,0
"3360","Frank Phillips College",1491,0
"3361","Galveston College",2208,0
"3362","Grayson College",4389,1
"3363","Hallmark University",883,0
"3364","Hardin-Simmons University",2252,7
"3365","Trinity Valley Community College",4449,6
"3366","Hill College",4236,0
"3367","Houston Baptist University",3325,10
"3368","University of Houston-Clear Lake",8542,3
"3369","Houston Community College",57120,41
"3370","University of Houston-Downtown",13919,16
"3371","University of Houston-Victoria",4353,4
"3372","University of Houston",45364,131
"3373","Howard College",4264,4
"3374","Howard Payne University",1072,2
"3375","Huston-Tillotson University",1102,3
"3376","University of the Incarnate Word",8603,8
"3377","International Business College-El Paso",38,2
"3378","Jacksonville College-Main Campus",546,0
"3379","Jarvis Christian College",909,0
"3380","KD Conservatory College of Film and Dramatic Arts",142,0
"3381","Kilgore College",5684,10
"3382","Lamar University",14506,11
"3383","Lamar State College-Orange",2293,0
"3384","Lamar State College-Port Arthur",2293,1
"3385","Laredo Beauty College Inc",108,0
"3386","Laredo Community College",9881,2
"3387","Texas A & M International University",7640,16
"3388","Lee College",7717,2
"3389","LeTourneau University",3003,2
"3390","Lincoln College of Technology-Grand Prairie",898,0
"3391","Lubbock Christian University",1883,2
"3392","College of the Mainland",4328,1
"3393","University of Mary Hardin-Baylor",3914,4
"3394","McLennan Community College",8880,1
"3395","McMurry University",1108,1
"3396","Covenant School of Nursing and Allied Health",325,10
"3397","Midland College",5564,1
"3398","Midwestern State University",6080,23
"3399","Mims Classic Beauty College",28,0
"3400","Wade College",151,2
"3401","Southern Careers Institute-Austin",434,0
"3402","Mountain View College",10220,3
"3403","Tint School of Makeup and Cosmetology-Irving",104,0
"3404","Navarro College",8968,8
"3405","Neilson Beauty College",34,0
"3406","Lone Star College System",72336,15
"3407","North Lake College",10953,3
"3408","University of North Texas",38276,39
"3409","Northeast Texas Community College",3110,2
"3410","Oblate School of Theology",146,0
"3411","Ocean Corporation",181,0
"3412","Odessa College",6282,1
"3413","Ogle School Hair Skin Nails-Arlington",242,0
"3414","Ogle School Hair Skin Nails-Ft Worth",247,0
"3415","Our Lady of the Lake University",3212,8
"3416","The University of Texas Rio Grande Valley",27809,20
"3417","Texas Southmost College",6216,0
"3418","Panola College",2465,0
"3419","Paris Junior College",4835,3
"3420","Paul Quinn College",519,13
"3421","Prairie View A & M University",9219,53
"3422","Ranger College",2412,1
"3423","Aviation Institute of Maintenance-Houston",289,0
"3424","Rice University",7022,16
"3425","Richland College",18794,2
"3426","Brightwood College-McAllen",404,0
"3427","Saint Edward's University",4447,19
"3428","St Philip's College",12050,1
"3429","University of St Thomas",3168,22
"3430","Sam Houston State University",20938,20
"3431","San Antonio College",19385,18
"3432","San Jacinto Community College",30509,12
"3433","Schreiner University",1312,2
"3434","Seguin Beauty School-Seguin",26,0
"3435","St. Mary's University",3649,24
"3436","South Plains College",9329,5
"3437","South Texas Barber College Inc",33,0
"3438","South Texas College of Law Houston",936,0
"3439","South Texas Vocational Technical Institute-Weslaco",443,0
"3440","South Texas Vocational Technical Institute-McAllen",447,0
"3441","Southern Methodist University",11789,32
"3442","Southwest School of Business and Technical Careers-San Antonio",45,0
"3443","Southwest Texas Junior College",6660,10
"3444","Southwestern Assemblies of God University",2162,4
"3445","Southwestern University",1396,11
"3446","Stephen F Austin State University",12614,6
"3447","Texas State University",38666,20
"3448","Southwestern Adventist University",817,1
"3449","Southwestern Christian College",159,3
"3450","Sul Ross State University",2946,7
"3451","Tarleton State University",13019,19
"3452","Tarrant County College District",52957,11
"3453","Temple College",4999,5
"3454","University of Texas Southwestern Medical Center",2238,17
"3455","The University of Texas Health Science Center at San Antonio",3277,1
"3456","The University of Texas Medical Branch",3302,3
"3457","Texarkana College",4250,0
"3458","Texas A & M University-Kingsville",8674,19
"3459","Texas A & M University-College Station",67929,175
"3460","The University of Texas at Arlington",46497,31
"3461","The University of Texas at Austin",51525,37
"3462","The University of Texas at Dallas",27642,20
"3463","The University of Texas at El Paso",25078,21
"3464","The University of Texas at Tyler",10402,8
"3465","Texas Chiropractic College Foundation Inc",263,0
"3466","Texas Christian University",10489,47
"3467","Texas College",992,0
"3468","University of North Texas Health Science Center",2285,5
"3469","Texas Lutheran University",1394,2
"3470","The University of Texas of the Permian Basin",7022,7
"3471","The University of Texas at San Antonio",30768,21
"3472","Brightwood College-Houston",371,0
"3473","Texas Southern University",10237,24
"3474","Texas Tech University",36996,51
"3475","Texas Wesleyan University",2396,10
"3476","Texas Woman's University",15473,13
"3477","Trinity University",2571,4
"3478","The University of Texas Health Science Center at Houston",5242,12
"3479","Texas Tech University Health Sciences Center",5453,0
"3480","Tyler Junior College",11649,20
"3481","Universal Technical Institute of Texas Inc.",1518,2
"3482","UCAS University of Cosemtology Arts & Sciences-McAllen",156,0
"3483","Vernon College",3005,0
"3484","Victoria Beauty College Inc",113,0
"3485","Victoria College",3962,0
"3486","Vogue College of Cosmetology-McAllen",234,0
"3487","Wayland Baptist University",4847,0
"3488","Weatherford College",6357,1
"3489","West Texas A & M University",10060,8
"3490","Western Texas College",2250,4
"3491","Wharton County Junior College",7050,0
"3492","Wiley College",1323,6
"3493","AmeriTech College-Provo",2,0
"3494","Bridgerland Technical College",1092,0
"3495","Brigham Young University-Provo",34334,24
"3496","Brigham Young University-Hawaii",3143,15
"3497","Broadview University-West Jordan",172,0
"3498","Cameo College of Essential Beauty",125,5
"3499","Collectiv Academy",20,0
"3500","Davis Technical College",2937,0
"3501","Dixie State University",9673,8
"3502","Evans Hairstyling College-Cedar City",48,0
"3503","Evans Hairstyling College-St George",41,0
"3504","Paul Mitchell the School-Salt Lake City",276,0
"3505","Eagle Gate College-Murray",329,1
"3506","LDS Business College",2045,0
"3507","Ogden-Weber Technical College",2256,1
"3508","Snow College",5563,10
"3509","Southern Utah University",9468,5
"3510","Stevens-Henager College",205,1
"3511","Stevens-Henager College",143,1
"3512","Uintah Basin Technical College",1239,1
"3513","Utah State University",27679,29
"3514","Utah Valley University",37282,14
"3515","Salt Lake Community College",29620,13
"3516","University of Utah",32800,89
"3517","Weber State University",27949,22
"3518","Westminster College",2570,21
"3519","Bennington College",851,9
"3520","Castleton University",2141,10
"3521","Champlain College",4749,7
"3522","Community College of Vermont",5504,0
"3523","Goddard College",496,0
"3524","Green Mountain College",724,2
"3525","Johnson State College",1552,15
"3526","Lyndon State College",1147,3
"3527","Marlboro College",185,7
"3528","Middlebury College",2591,39
"3529","New England Culinary Institute",144,1
"3530","Norwich University",4100,26
"3531","O'Briens Aveda Institute",41,0
"3532","Saint Michael's College",2077,8
"3533","SIT Graduate Institute",257,2
"3534","College of St Joseph",334,3
"3535","Southern Vermont College",361,1
"3536","Sterling College",154,9
"3537","Vermont Law School",632,0
"3538","Vermont Technical College",1616,0
"3539","University of Vermont",13340,28
"3540","Paul Mitchell the School-Roanoke",84,0
"3541","Advanced Technology Institute",464,0
"3542","Averett University",927,2
"3543","Blue Ridge Community College",4200,1
"3544","Bluefield College",997,5
"3545","Bridgewater College",1889,16
"3546","College of William and Mary",8740,16
"3547","Regent University",9488,3
"3548","Central School of Practical Nursing",18,1
"3549","Central Virginia Community College",4128,0
"3550","Christopher Newport University",5081,42
"3551","Suffolk Beauty Academy",38,0
"3552","Bryant & Stratton College-Virginia Beach",484,0
"3553","Bryant & Stratton College-Richmond",675,0
"3554","Jefferson College of Health Sciences",1151,0
"3555","Dabney S Lancaster Community College",1260,0
"3556","Danville Community College",3101,3
"3557","Eastern Virginia Medical School",1256,5
"3558","Centura College-Virginia Beach",150,0
"3559","Emory & Henry College",1226,8
"3560","Eastern Mennonite University",1530,10
"3561","Eastern Shore Community College",644,0
"3562","Ferrum College",1137,6
"3563","George Mason University",35984,46
"3564","Germanna Community College",6688,2
"3565","Hampden-Sydney College",1046,17
"3566","Hampton University",4618,27
"3567","Hollins University",790,1
"3568","J Sargeant Reynolds Community College",9334,4
"3569","James Madison University",21836,28
"3570","John Tyler Community College",10380,0
"3571","Liberty University",75044,12
"3572","Longwood University",5074,6
"3573","Lord Fairfax Community College",6891,0
"3574","University of Lynchburg",2810,15
"3575","Centra College of Nursing",302,0
"3576","Mary Baldwin University",1654,6
"3577","University of Mary Washington",4808,23
"3578","Marymount University",3375,4
"3579","Danville Regional Medical Center School of Health Professions",20,0
"3580","Mountain Empire Community College",2684,0
"3581","American National University",980,0
"3582","New River Community College",4626,0
"3583","Sentara College of Health Sciences",440,0
"3584","Tidewater Tech-Trades",359,0
"3585","Norfolk State University",5303,15
"3586","Northern Virginia Community College",51190,14
"3587","Old Dominion University",24375,42
"3588","Patrick Henry Community College",2263,1
"3589","Paul D Camp Community College",1404,0
"3590","Southside Regional Medical Center Professional Schools",110,0
"3591","Piedmont Virginia Community College",5608,0
"3592","Radford University",9418,25
"3593","Sylvain Melloul International Hair Academy",60,1
"3594","Randolph-Macon College",1453,12
"3595","Randolph College",684,12
"3596","Rappahannock Community College",3229,0
"3597","Fortis College-Norfolk",229,0
"3598","Richard Bland College of William and Mary",2487,3
"3599","Bon Secours Memorial College of Nursing",477,0
"3600","University of Richmond",4023,35
"3601","Riverside College of Health Careers",336,0
"3602","Roanoke College",2035,12
"3603","Bon Secours St Mary's Hospital School of Medical Imaging",30,0
"3604","Shenandoah University",3844,3
"3605","Southern Virginia University",911,6
"3606","Southside Virginia Community College",3611,0
"3607","Southwest Virginia Community College",2304,0
"3608","Staunton School of Cosmetology",24,0
"3609","Strayer University-Virginia",5894,0
"3610","Sweet Briar College",323,8
"3611","Thomas Nelson Community College",8286,0
"3612","Tidewater Community College",22776,8
"3613","Union Presbyterian Seminary",160,0
"3614","The University of Virginia's College at Wise",2095,8
"3615","Virginia Highlands Community College",2328,0
"3616","Virginia Polytechnic Institute and State University",34440,64
"3617","Virginia Western Community College",7271,0
"3618","Virginia Commonwealth University",30675,64
"3619","University of Virginia-Main Campus",24360,38
"3620","Virginia Military Institute",1722,21
"3621","Virginia School of Hair Design",21,0
"3622","Virginia University of Lynchburg",304,5
"3623","Virginia State University",4713,30
"3624","Virginia Union University",1674,4
"3625","Virginia Wesleyan University",1470,1
"3626","Washington and Lee University",2220,16
"3627","Wilson Workforce and Rehabilitation Center",138,5
"3628","Wytheville Community College",2676,0
"3629","The Art Institute of Seattle",857,0
"3630","Bellevue College",13322,6
"3631","Bellingham Technical College",2392,1
"3632","Big Bend Community College",1975,1
"3633","Central Washington University",12901,38
"3634","Centralia College",3122,6
"3635","City University of Seattle",2199,5
"3636","Paul Mitchell the School-Richland",174,0
"3637","Clark College",10000,0
"3638","Clover Park Technical College",3883,1
"3639","Columbia Basin College",6708,1
"3640","Cornish College of the Arts",658,7
"3641","Divers Institute of Technology",242,1
"3642","Eastern Washington University",12607,7
"3643","Edmonds Community College",8100,8
"3644","Everett Community College",7740,7
"3645","Paroba College of Cosmetology",138,0
"3646","The Evergreen State College",3907,13
"3647","Pierce College-Fort Steilacoom",6048,2
"3648","Glen Dow Academy of Hair Design",106,0
"3649","Gonzaga University",7506,24
"3650","Grays Harbor College",1971,3
"3651","Green River College",8048,18
"3652","Toni & Guy Hairdressing Academy-Shoreline",79,0
"3653","Heritage University",1044,0
"3654","Highline College",6824,13
"3655","International Air and Hospitality Academy",126,0
"3656","Bastyr University",1195,0
"3657","Gene Juarez Academy of Beauty-Mountlake Terrace",145,1
"3658","Bates Technical College",3448,3
"3659","Lake Washington Institute of Technology",3697,0
"3660","Lower Columbia College",2935,3
"3661","BJ's Beauty & Barber College",13,0
"3662","BJ's Beauty & Barber College",64,0
"3663","North Seattle College",6259,9
"3664","Northwest University",1250,3
"3665","Olympic College",6476,2
"3666","Perry Technical Institute",842,1
"3667","Pacific Lutheran University",3122,19
"3668","Peninsula College",2094,0
"3669","University of Puget Sound",2701,11
"3670","Renton Technical College",3763,1
"3671","Saint Martin's University",1565,8
"3672","South Seattle College",6716,7
"3673","Seattle Central College",6928,23
"3674","Seattle Pacific University",3783,22
"3675","Seattle University",7278,19
"3676","Shoreline Community College",6128,3
"3677","Skagit Valley College",4670,9
"3678","South Puget Sound Community College",4951,3
"3679","Spokane Community College",10014,4
"3680","Spokane Falls Community College",5589,20
"3681","Stylemaster College of Hair Design",69,0
"3682","Tacoma Community College",6496,10
"3683","Walla Walla Community College",4253,10
"3684","Walla Walla University",1825,5
"3685","Washington State University",30614,51
"3686","University of Washington-Seattle Campus",46166,74
"3687","Wenatchee Valley College",3556,0
"3688","Western Washington University",15915,21
"3689","Whatcom Community College",4411,2
"3690","Whitman College",1510,10
"3691","Whitworth University",2627,2
"3692","Yakima Valley College",4007,6
"3693","Alderson Broaddus University",1020,10
"3694","Appalachian Beauty School",21,0
"3695","Appalachian Bible College",277,0
"3696","B M Spurr School of Practical Nursing",35,0
"3697","Ben Franklin Career Center",53,0
"3698","Bethany College",628,16
"3699","Bluefield State College",1379,0
"3700","Cabell County Career Technology Center",76,0
"3701","Charleston School of Beauty Culture",83,0
"3702","University of Charleston",2481,21
"3703","Clarksburg Beauty Academy and School of Massage Therapy",66,0
"3704","Concord University",2194,1
"3705","Davis & Elkins College",837,6
"3706","Fairmont State University",3886,9
"3707","Glenville State College",1655,4
"3708","Huntington Junior College",368,0
"3709","James Rumsey Technical Institute",126,0
"3710","Marshall University",13246,18
"3711","Mercer County Technical Education Center",115,0
"3712","Meredith Manor International Equestrian Center",90,0
"3713","Monongalia County Technical Education Center",89,0
"3714","Morgantown Beauty College Inc",73,0
"3715","Mountain State College",78,0
"3716","Ohio Valley University",560,1
"3717","West Virginia University at Parkersburg",2482,0
"3718","Potomac State College of West Virginia University",1410,10
"3719","Academy of Careers and Technology",146,0
"3720","Salem International University",1126,1
"3721","Shepherd University",3736,9
"3722","Southern West Virginia Community and Technical College",1621,0
"3723","Fred W Eberle Technical Center",181,0
"3724","West Virginia School of Osteopathic Medicine",849,0
"3725","West Virginia State University",3879,11
"3726","West Virginia University Hospital Departments of Rad Tech and Nutrition",55,0
"3727","West Liberty University",2443,2
"3728","West Virginia University Institute of Technology",1623,4
"3729","West Virginia Wesleyan College",1449,6
"3730","West Virginia Junior College-Charleston",150,0
"3731","West Virginia Junior College-Morgantown",494,0
"3732","International Beauty School 4",66,0
"3733","West Virginia Northern Community College",1650,0
"3734","West Virginia University",28406,25
"3735","Wheeling Jesuit University",1124,6
"3736","Wood County School of Practical Nursing",28,0
"3737","VICI Beauty School",137,0
"3738","Alverno College",1942,5
"3739","Madison Area Technical College",15410,2
"3740","Bellin College",440,0
"3741","Beloit College",1402,19
"3742","Blackhawk Technical College",2098,0
"3743","Cardinal Stritch University",2355,2
"3744","Carroll University",3452,6
"3745","Carthage College",2860,21
"3746","Columbia College of Nursing",122,0
"3747","Concordia University-Wisconsin",7288,5
"3748","Edgewood College",2221,1
"3749","Fox Valley Technical College",11660,7
"3750","Gateway Technical College",9166,4
"3751","The Professional Hair Design Academy",46,0
"3752","Lakeland University",2679,9
"3753","Lakeshore Technical College",2734,0
"3754","Lawrence University",1467,25
"3755","Maranatha Baptist University",1139,0
"3756","Marian University",1971,12
"3757","Marquette University",11426,18
"3758","Medical College of Wisconsin",1385,3
"3759","Mid-State Technical College",2749,0
"3760","Milwaukee Area Technical College",14012,3
"3761","Milwaukee Institute of Art & Design",660,3
"3762","Milwaukee School of Engineering",2823,3
"3763","Moraine Park Technical College",5012,0
"3764","Mount Mary University",1399,2
"3765","Nashotah House",73,0
"3766","Nicolet Area Technical College",1338,0
"3767","Northcentral Technical College",5167,0
"3768","Northeast Wisconsin Technical College",11488,0
"3769","Northland College",635,1
"3770","Ripon College",756,7
"3771","Sacred Heart Seminary and School of Theology",109,0
"3772","Saint Norbert College",2165,14
"3773","Silver Lake College of the Holy Family",475,1
"3774","State College of Beauty Culture Inc",35,0
"3775","Southwest Wisconsin Technical College",2367,0
"3776","Bryant & Stratton College-Milwaukee",152,0
"3777","University of Wisconsin Colleges",11486,6
"3778","Viterbo University",2796,3
"3779","Chippewa Valley Technical College",7134,0
"3780","Waukesha County Technical College",7696,0
"3781","Western Technical College",4108,1
"3782","University of Wisconsin-Whitewater",12434,27
"3783","Wisconsin Indianhead Technical College",3021,0
"3784","Wisconsin School of Professional Psychology",78,0
"3785","Paul Mitchell the School-Green Bay",121,0
"3786","University of Wisconsin-Eau Claire",10904,15
"3787","University of Wisconsin-Green Bay",7174,3
"3788","University of Wisconsin-La Crosse",10548,15
"3789","Wisconsin Lutheran College",1114,3
"3790","University of Wisconsin-Oshkosh",13933,22
"3791","University of Wisconsin-Parkside",4277,14
"3792","Herzing University-Madison",2156,0
"3793","University of Wisconsin-Stout",9416,9
"3794","University of Wisconsin-Superior",2595,7
"3795","University of Wisconsin-Madison",42977,79
"3796","University of Wisconsin-Milwaukee",24988,45
"3797","University of Wisconsin-Platteville",8548,11
"3798","University of Wisconsin-River Falls",6105,7
"3799","University of Wisconsin-Stevens Point",8222,17
"3800","Casper College",3409,6
"3801","Central Wyoming College",1930,2
"3802","Eastern Wyoming College",1560,0
"3803","Laramie County Community College",4129,0
"3804","Northwest College",1654,11
"3805","Sheridan College",4133,6
"3806","Western Wyoming Community College",3339,1
"3807","Cheeks International Academy of Beauty Culture-Cheyenne",50,0
"3808","Wyotech-Laramie",464,0
"3809","University of Wyoming",12397,28
"3810","American Samoa Community College",1095,0
"3811","Guam Community College",2055,12
"3812","University of Guam",3917,1
"3813","Northern Marianas College",1216,0
"3814","Institute of Beauty Careers",110,0
"3815","Educational Technical College-Recinto de Bayamon",383,0
"3816","American University of Puerto Rico",508,0
"3817","American University of Puerto Rico",693,0
"3818","American Educational College",329,0
"3819","Antilles School of Technical Careers",444,1
"3820","Universidad Adventista de las Antillas",1271,0
"3821","Atlantic University College",1651,0
"3822","Universidad Central de Bayamon",1742,3
"3823","Columbia Central University-Caguas",1410,0
"3824","Carlos Albizu University-San Juan",1319,0
"3825","Caribbean University-Bayamon",1470,2
"3826","Caribbean University-Carolina",395,0
"3827","Pontifical Catholic University of Puerto Rico-Arecibo",1019,1
"3828","Pontifical Catholic University of Puerto Rico-Ponce",7381,0
"3829","CEM College-San Juan",442,0
"3830","Universidad Teologica del Caribe",370,3
"3831","Colegio Universitario de San Juan",1480,0
"3832","Universidad Metropolitana",13003,7
"3833","Puerto Rico Conservatory of Music",466,0
"3834","Center for Advanced Studies On Puerto Rico and the Caribbean",514,0
"3835","EDP University of Puerto Rico Inc-San Sebastian",1090,0
"3836","Emma's Beauty Academy-Mayaguez",352,0
"3837","Escuela de Artes Plasticas y Diseno de Puerto Rico",497,0
"3838","Instituto Tecnologico de Puerto Rico-Recinto de Manati",647,0
"3839","Huertas College",727,0
"3840","Humacao Community College",468,0
"3841","ICPR Junior College-Arecibo",281,1
"3842","ICPR Junior College-Mayaguez",403,0
"3843","Richport Technical College",88,0
"3844","Instituto de Banca y Comercio Inc",11239,5
"3845","Instituto Tecnologico de Puerto Rico-Recinto de Guayama",622,0
"3846","Instituto Tecnologico de Puerto Rico-Recinto de Ponce",349,1
"3847","Instituto Tecnologico de Puerto Rico-Recinto de San Juan",636,0
"3848","Inter American University of Puerto Rico-San German",4759,2
"3849","Inter American University of Puerto Rico-Aguadilla",4219,0
"3850","Inter American University of Puerto Rico-Arecibo",4320,0
"3851","Inter American University of Puerto Rico-Barranquitas",1884,0
"3852","Inter American University of Puerto Rico-Metro",8607,0
"3853","Inter American University of Puerto Rico-Ponce",5205,0
"3854","Inter American University of Puerto Rico-Fajardo",2113,1
"3855","Inter American University of Puerto Rico-Guayama",1922,0
"3856","Inter American University of Puerto Rico-Bayamon",4612,0
"3857","Inter American University of Puerto Rico-School of Law",799,0
"3858","International Technical College",102,0
"3859","Liceo de Arte y Tecnologia",1097,0
"3860","Modern Hairstyling Institute-Bayamon",172,0
"3861","Modern Hairstyling Institute-Arecibo",56,0
"3862","National University College",11654,7
"3863","Ponce Paramedical College Inc",1412,1
"3864","Ponce Health Sciences University",1004,0
"3865","University of Puerto Rico-Aguadilla",3426,0
"3866","University of Puerto Rico-Arecibo",3799,0
"3867","University of Puerto Rico-Bayamon",4531,0
"3868","University of Puerto Rico-Carolina",3792,0
"3869","University of Puerto Rico-Cayey",3496,1
"3870","University of Puerto Rico-Humacao",3723,5
"3871","University of Puerto Rico-Utuado",1154,0
"3872","University of Puerto Rico-Mayaguez",13481,4
"3873","University of Puerto Rico-Medical Sciences",2273,0
"3874","University of Puerto Rico-Ponce",3150,0
"3875","University of Puerto Rico-Rio Piedras",15098,48
"3876","Universidad del Este",11642,4
"3877","Universidad del Sagrado Corazon",4783,0
"3878","Seminario Evangelico de Puerto Rico",194,0
"3879","Universidad Central Del Caribe",466,0
"3880","Universidad Politecnica de Puerto Rico",4315,0
"3881","Pontifical Catholic University of Puerto Rico-Mayaguez",1424,0
"3882","Universidad del Turabo",17034,1
"3883","College of Micronesia-FSM",2022,11
"3884","Palau Community College",532,0
"3885","University of the Virgin Islands",2170,6
"3886","Stanford University",17534,125
"3887","Purdue University-Main Campus",42699,70
"3888","Blue Hills Regional Technical School",56,0
"3889","Parker University",1263,1
"3890","EDP University of Puerto Rico Inc-San Juan",2079,0
"3891","ICPR Junior College-General Institutional",363,0
"3892","City College-Fort Lauderdale",401,0
"3893","Meridian College",227,0
"3894","Georgia Piedmont Technical College",4115,0
"3895","Cortiva Institute-Chicago",205,0
"3896","ETI School of Skilled Trades",223,0
"3897","Trend Setters' Academy of Beauty Culture-Elizabethtown",19,0
"3898","Traxlers School of Hair",60,0
"3899","Vatterott College-Berkeley",545,0
"3900","Metro Business College-Rolla",36,0
"3901","Metro Business College-Jefferson City",49,0
"3902","Warren County Community College",3348,0
"3903","St. John's College",386,8
"3904","Bais Medrash Elyon",68,0
"3905","Antioch University-Los Angeles",868,0
"3906","Antioch University-Santa Barbara",321,0
"3907","Antioch University-New England",799,0
"3908","Antioch University-Seattle",614,0
"3909","Antioch University-Midwest",138,0
"3910","Mid-America Christian University",2093,3
"3911","Platt College-Tulsa",329,1
"3912","Ponca City Beauty College",35,0
"3913","Francis Tuttle Technology Center",2103,0
"3914","Central Technology Center",268,1
"3915","Carrington College-Portland",243,0
"3916","Career Technology Center of Lackawanna County",72,0
"3917","Brightwood College-Nashville",309,0
"3918","Brightwood College-El Paso",381,0
"3919","Houston Graduate School of Theology",145,0
"3920","Palo Alto College",9368,9
"3921","Sebring Career Schools-Huntsville",36,0
"3922","UCAS University of Cosmetology Arts & Sciences-San Antonio 410",60,0
"3923","Central Texas Beauty College-Round Rock",123,0
"3924","Unification Theological Seminary",133,0
"3925","Athens Technical College",4493,2
"3926","GateWay Community College-Central City",488,0
"3927","Carrington College-San Leandro",290,1
"3928","Headmasters School of Hair Design",23,0
"3929","The Salon Professional Academy",71,1
"3930","Beckfield College-Florence",617,0
"3931","Dorsey Business Schools-Wayne",290,0
"3932","Ecumenical Theological Seminary",54,0
"3933","Ross Medical Education Center-Saginaw",138,0
"3934","Sussex County Community College",2529,1
"3935","Landmark College",461,4
"3936","National American University-Independence",255,0
"3937","Yeshiva Gedolah of Greater Detroit",66,0
"3938","Austin Graduate School of Theology",36,0
"3939","Collin County Community College District",31609,3
"3940","Owensboro Community and Technical College",3787,1
"3941","Jenny Lea Academy of Cosmetology",41,0
"3942","Empire Beauty School-Hurstborne",85,0
"3943","Cloyd's Beauty School 3 Inc",26,0
"3944","Moore Norman Technology Center",1505,0
"3945","Fayette County Career & Technical Institute Practical Nursing Program",90,0
"3946","Franklin County Career and Technology Center",88,0
"3947","Paul Mitchell the School-Knoxville",166,0
"3948","Ogle School Hair Skin Nails-Hurst",132,0
"3949","FIDM-Fashion Institute of Design & Merchandising-San Diego",66,0
"3950","Tennessee College of Applied Technology Nashville",806,0
"3951","ECPI University",11972,0
"3952","Branford Hall Career Institute-Jersey City",146,0
"3953","Paul Mitchell the School-Houston",386,0
"3954","TDDS Technical Institute",239,1
"3955","Fortis Institute-Forty Fort",159,0
"3956","Laurel Business Institute",238,1
"3957","Aviation Institute of Maintenance-Philadelphia",274,0
"3958","Carrington College-Phoenix East",332,0
"3959","Dorsey Business Schools-Roseville",461,0
"3960","Moler-Pickens Beauty Academy",78,0
"3961","Red River Technology Center",526,0
"3962","Brightwood Career Institute-Harrisburg",178,0
"3963","Southern Union State Community College",4828,1
"3964","South University-Columbia",1132,0
"3965","Clinton Technical School",17,0
"3966","Greene County Career and Technology Center",25,0
"3967","Lac Courte Oreilles Ojibwa Community College",211,0
"3968","Diesel Driving Academy-Shreveport",154,0
"3969","Pima Medical Institute-Mesa",945,1
"3970","Platt College-Los Angeles",587,1
"3971","Platt College-Aurora",236,0
"3972","Kaplan University-Davenport Campus",33287,0
"3973","Kaplan University-Cedar Falls Campus",245,0
"3974","Paul Mitchell the School-Boise",229,0
"3975","Christian Life College",70,0
"3976","Educators of Beauty College of Cosmetology-Rockford",67,0
"3977","Northwestern College-Southwestern Campus",650,0
"3978","Douglas J Aveda Institute",769,2
"3979","Ross Medical Education Center-Brighton",58,0
