"College","Admission.Rate","ACT.score","SAT.score","Female.Proportion","Married","Tuition.Fee.in.state","Tuition.Fee.out.state","Website","Region","State","City","City.size","Control","Highest.Degree","Rank","Unemployment.Rate","Mean.Earnings.Students","Mean.Earnings.Female.Students","Mean.Earnings.Male.Students","Share.of.Students.Earning.over..25.000.year","Crime"
"Celebrity School of Beauty","NULL","NULL","NULL","0.79138322","0.3537414966","NULL","NULL","www.celebrity.edu","Southeast","FL","Miami","Suburb","Private for profit","Certificate degree","Rank over 230",5.58,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",0
"Celebrity Stylist Beauty School","NULL","NULL","NULL","0.7083333333","PrivacySuppressed","NULL","NULL","www.celebritystylistbeautyschool.com","Southeast","LA","Monroe","City","Private for profit","Certificate degree","Rank over 230",3.28,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"CEM College-Bayamon","NULL","NULL","NULL","0.6796285548","0.0818340104","7195","7195","www.cempr.edu","Outlying Areas","PR","Bayamón","Suburb","Private for profit","Bachelor's degree","Rank over 230",5.58,"22300","19200","30700","0.282",0
"CEM College-Humacao","NULL","NULL","NULL","0.6796285548","0.0818340104","7195","7195","www.cempr.edu","Outlying Areas","PR","Humacao","Suburb","Private for profit","Bachelor's degree","Rank over 230",4.82,"22300","19200","30700","0.282",0
"CEM College-Mayaguez","NULL","NULL","NULL","0.6796285548","0.0818340104","7195","7195","cempr.edu/","Outlying Areas","PR","Mayaguez","City","Private for profit","Bachelor's degree","Rank over 230",5.58,"22300","19200","30700","NULL",0
"CEM College-San Juan","NULL","NULL","NULL","0.6796285548","0.0818340104","7195","7195","www.cempr.edu","Outlying Areas","PR","San Juan","City","Private for profit","Bachelor's degree","Rank over 230",4.82,"22300","19200","30700","0.282",0
"Centenary College of Louisiana","0.6422","25","1121","0.5142857143","PrivacySuppressed","35430","35430","www.centenary.edu","Southeast","LA","Shreveport","City","Private nonprofit","Graduate degree","Rank over 230",1.91,"52500","47400","58900","0.815",18
"Centenary University","0.8788","18","927","0.6541916168","0.0479041916","32098","32098","www.centenaryuniversity.edu","Mid East","NJ","Hackettstown","Suburb","Private nonprofit","Graduate degree","Rank over 230",1.2,"49700","47000","54800","0.769",2
"Center for Advanced Legal Studies","NULL","NULL","NULL","0.8625","0.23125","NULL","NULL","www.paralegal.edu","Southwest","TX","Houston","City","Private for profit","Associate degree","Rank over 230",2.12,"41800","PrivacySuppressed","PrivacySuppressed","0.709",0
"Center for Advanced Studies On Puerto Rico and the Caribbean","NULL","NULL","NULL","NULL","NULL","NULL","NULL","ceaprc.edu","Outlying Areas","PR","San Juan","City","Private nonprofit","Graduate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Center for Instruction Technology & Innovation (CiTi)","0.7848","NULL","NULL","0.8275862069","0.2672413793","NULL","NULL","www.oswegoboces.org/","Mid East","NY","Mexico","Rural","Public","Certificate degree","Rank over 230",3.86,"31900","PrivacySuppressed","PrivacySuppressed","0.663",0
"Center for Massage","NULL","NULL","NULL","0.8461538462","0.1868131868","NULL","NULL","centerformassage.com","Southeast","NC","Asheville","City","Private for profit","Certificate degree","Rank over 230",5.58,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",1
"Center for Natural Wellness School of Massage Therapy","0.5532","NULL","NULL","0.783625731","0.1754385965","NULL","NULL","www.cnwsmt.com/","Mid East","NY","Albany","Suburb","Private for profit","Certificate degree","Rank over 230",5.58,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Center for Neurosomatic Studies","0.4286","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","cns.edu","Southeast","FL","Clearwater","City","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Center for Ultrasound Research & Education","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","www.cure.edu","Mid East","NY","White Plains","City","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"CenterPoint Massage and Shiatsu Therapy School and Clinic","NULL","NULL","NULL","0.75","0.225","NULL","NULL","centerpointmn.com","Plains","MN","St Louis Park","Suburb","Private for profit","Certificate degree","Rank over 230",5.58,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",0
"Centra College of Nursing","NULL","NULL","NULL","0.9234972678","0.306010929","11490","11490","centracon.edu","Southeast","VA","Lynchburg","City","Private nonprofit","Associate degree","Rank over 230",1.12,"47200","PrivacySuppressed","PrivacySuppressed","0.815",0
"Central Alabama Community College","NULL","NULL","NULL","0.6037383178","0.0962616822","4380","7890","www.cacc.edu","Southeast","AL","Alexander City","Town","Public","Associate degree","Rank over 230",1.92,"32400","28600","41500","0.561",1
"Central Arizona College","NULL","NULL","NULL","0.5983221477","0.1798657718","2520","10980","www.centralaz.edu","Southwest","AZ","Coolidge","Rural","Public","Associate degree","Rank over 230",2.46,"31500","28700","37300","0.551",3
"Central Baptist College","0.6195","22","1018","0.4609929078","0.1654846336","15000","15000","www.cbc.edu","Southeast","AR","Conway","City","Private nonprofit","Bachelor's degree","Rank over 230",1.57,"43000","33800","49200","0.661",0
"Central California School of Continuing Education","NULL","NULL","NULL","0.8707482993","0.1768707483","9895","9895","ccsce.org","Far West","CA","San Luis Obispo","City","Private for profit","Certificate degree","Rank over 230",3.46,"39500","35100","52600","0.668",0
"Central Career Institute LLC","NULL","NULL","NULL","0.8639705882","0.1838235294","NULL","NULL","www.centralcareer.edu","Mid East","NJ","South Plainfield","Suburb","Private for profit","Certificate degree","Rank over 230",2.12,"30600","PrivacySuppressed","PrivacySuppressed","0.6",0
"Central Carolina Community College","NULL","NULL","NULL","0.6637884512","0.1797085807","2544","8688","www.cccc.edu","Southeast","NC","Sanford","Town","Public","Associate degree","Rank over 230",1.81,"27800","25400","34200","0.473",1
"Central Carolina Technical College","NULL","NULL","NULL","0.6509785648","0.151444548","4639","7958","www.cctech.edu","Southeast","SC","Sumter","City","Public","Associate degree","Rank over 230",2.34,"29400","27200","34900","0.49",1
"Central Christian College of Kansas","0.5364","20","921","0.4773413897","0.2688821752","16850","16850","www.centralchristian.edu","Plains","KS","McPherson","Town","Private nonprofit","Bachelor's degree","Rank over 230",1.21,"34800","27400","40500","0.616",1
"Central Christian College of the Bible","0.276","22","1026","0.3612903226","0.0903225806","13700","13700","www.cccb.edu","Plains","MO","Moberly","Town","Private nonprofit","Bachelor's degree","Rank over 230",1.36,"30600","20600","37600","0.562",0
"Central Coast College","0.5672","NULL","NULL","0.9130434783","0.1335403727","NULL","NULL","www.centralcoastcollege.edu","Far West","CA","Salinas","City","Private for profit","Certificate degree","Rank over 230",4.66,"30300","PrivacySuppressed","PrivacySuppressed","0.618",1
"Central College","0.7343","24","1091","0.4896193772","PrivacySuppressed","34612","34612","www.central.edu","Plains","IA","Pella","Town","Private nonprofit","Bachelor's degree","Rank over 230",0.7,"48400","42100","54700","0.832",9
"Central College of Cosmetology","NULL","NULL","NULL","PrivacySuppressed","0.306122449","NULL","NULL","centralandsalemcolleges.com","Plains","MO","Saint Robert","Town","Private for profit","Certificate degree","Rank over 230",0.94,"21000","PrivacySuppressed","PrivacySuppressed","0.353",0
"Central Community College","NULL","NULL","NULL","0.5765004227","0.122569738","2880","4140","www.cccneb.edu","Plains","NE","Grand Island","City","Public","Associate degree","Rank over 230",0.42,"32800","28200","41000","0.587",3
"Central Connecticut State University","0.6001","22","1000","0.4913224151","0.03959912","9741","22602","www.ccsu.edu","New England","CT","New Britain","Suburb","Public","Graduate degree","Rank over 230",1.4,"51600","45000","58600","0.809",25
"Central Georgia Technical College","NULL","NULL","NULL","0.6705931847","0.1623895667","2714","4810","www.centralgatech.edu","Southeast","GA","Warner Robins","City","Public","Associate degree","Rank over 230",5.58,"25200","23600","29500","0.402",4
"Central Lakes College-Brainerd","NULL","NULL","NULL","0.495132128","0.1084840056","5384","5384","WWW.CLCMN.EDU","Plains","MN","Brainerd","Town","Public","Associate degree","Rank over 230",1.7,"37700","31800","43600","0.639",3
"Central Louisiana Technical Community College","NULL","NULL","NULL","0.5577557756","0.202420242","4089","8198","www.cltcc.edu","Southeast","LA","Alexandria","City","Public","Associate degree","Rank over 230",2.86,"NULL","NULL","NULL","NULL",3
"Central Maine Community College","NULL","NULL","NULL","0.5502336449","0.1115654206","3540","6300","www.cmcc.edu","New England","ME","Auburn","Rural","Public","Associate degree","Rank over 230",1.36,"35600","31200","40100","0.664",0
"Central Methodist University-College of Graduate and Extended Studies","0.2353","NULL","NULL","0.6899563319","0.2980349345","5400","5400","www.centralmethodist.edu","Plains","MO","Fayette","Town","Private nonprofit","Graduate degree","Rank over 230",1.5,"39500","35200","45900","0.769",3
"Central Methodist University-College of Liberal Arts and Sciences","0.6103","22","1023","0.6899563319","0.2980349345","23010","23010","www.centralmethodist.edu/","Plains","MO","Fayette","Town","Private nonprofit","Bachelor's degree","Rank over 230",1.5,"39500","35200","45900","0.769",3
"Central Michigan University","0.7156","23","1049","0.592287234","0.0457446809","12150","23670","https://www.cmich.edu","Great Lakes","MI","Mount Pleasant","Town","Public","Graduate degree","205",1.57,"46200","40900","53100","0.778",20
"Central New Mexico Community College","NULL","NULL","NULL","0.5631479736","0.1368991517","1472","6848","www.cnm.edu","Southwest","NM","Albuquerque","City","Public","Associate degree","Rank over 230",2.25,"34000","31400","37900","0.593",43
"Central Ohio Technical College","NULL","NULL","NULL","0.7178040021","0.1831708568","4296","7056","www.cotc.edu","Great Lakes","OH","Newark","Suburb","Public","Associate degree","Rank over 230",1.15,"35400","33400","40500","0.609",0
"Central Oklahoma College","NULL","NULL","NULL","0.9467312349","0.205811138","NULL","NULL","centraloc.edu","Southwest","OK","Oklahoma City","City","Private for profit","Certificate degree","Rank over 230",1.28,"19300","PrivacySuppressed","PrivacySuppressed","0.231",0
"Central Oregon Community College","NULL","NULL","NULL","0.5660303857","0.1340085703","3627","9495","www.cocc.edu","Far West","OR","Bend","City","Public","Associate degree","Rank over 230",1.97,"36900","32100","44300","0.61",10
"Central Penn College","0.9855","15","778","0.6342592593","0.1905864198","17646","17646","www.centralpenn.edu","Mid East","PA","Summerdale","Suburb","Private for profit","Graduate degree","Rank over 230",1.37,"37700","32100","48400","0.681",2
"Central Pennsylvania Institute of Science and Technology","NULL","NULL","NULL","0.4943502825","0.209039548","NULL","NULL","www.cpi.edu","Mid East","PA","Pleasant Gap","Rural","Public","Certificate degree","Rank over 230",1.17,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Central Piedmont Community College","NULL","NULL","NULL","0.5766110338","0.0988641632","2792","8936","www.cpcc.edu","Southeast","NC","Charlotte","City","Public","Associate degree","Rank over 230",1.92,"31700","29400","36800","0.535",9
"Central School of Practical Nursing","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","https://www.npsk12.com/domain/980","Southeast","VA","Norfolk","City","Public","Certificate degree","Rank over 230",5.58,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"Central School of Practical Nursing","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","https://www.npsk12.com/domain/980","Southeast","VA","Norfolk","City","Public","Certificate degree","Rank over 230",2.09,"40000","PrivacySuppressed","PrivacySuppressed","0.743",1
"Central School of Practical Nursing","NULL","NULL","NULL","0.9325842697","0.095505618","NULL","NULL","www.cspnohio.org","Great Lakes","OH","Independence","Suburb","Private nonprofit","Certificate degree","Rank over 230",2.09,"40000","PrivacySuppressed","PrivacySuppressed","0.743",1
"Central School of Practical Nursing","NULL","NULL","NULL","0.9325842697","0.095505618","NULL","NULL","www.cspnohio.org","Great Lakes","OH","Independence","Suburb","Private nonprofit","Certificate degree","Rank over 230",5.58,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"Central State University","0.4201","17","801","0.5495495495","PrivacySuppressed","6246","8096","www.centralstate.edu","Great Lakes","OH","Wilberforce","Rural","Public","Graduate degree","Rank over 230",3.4,"28600","28500","28700","0.483",17
"Central Susquehanna Intermediate Unit LPN Career","0.7938","NULL","NULL","PrivacySuppressed","0.2561983471","NULL","NULL","www.csiu.org/lpn","Mid East","PA","Lewisburg","Town","Public","Certificate degree","Rank over 230",1.13,"37000","PrivacySuppressed","PrivacySuppressed","0.842",0
"Central Technology Center","NULL","NULL","NULL","0.6832298137","0.1801242236","NULL","NULL","www.centraltech.edu","Southwest","OK","Drumright","Rural","Public","Certificate degree","Rank over 230",0.98,"32600","PrivacySuppressed","PrivacySuppressed","0.522",1
"Central Texas Beauty College-Round Rock","NULL","NULL","NULL","0.8881578947","0.2467105263","NULL","NULL","www.centraltexasbeautycollege.com","Southwest","TX","Round Rock","City","Private for profit","Certificate degree","Rank over 230",0.96,"20900","PrivacySuppressed","PrivacySuppressed","0.305",0
"Central Texas Beauty College-Temple","NULL","NULL","NULL","0.8881578947","0.2467105263","NULL","NULL","www.centraltexasbeautycollege.com","Southwest","TX","Temple","City","Private for profit","Certificate degree","Rank over 230",0.96,"20900","PrivacySuppressed","PrivacySuppressed","0.305",0
"Central Texas College","NULL","NULL","NULL","0.5084459459","0.4799710425","2280","6420","www.ctcd.edu","Southwest","TX","Killeen","Suburb","Public","Associate degree","Rank over 230",1.92,"34900","30800","44700","0.592",1
"Central Virginia Community College","NULL","NULL","NULL","0.5649081209","0.1144042679","4598","10496","www.cvcc.vccs.edu","Southeast","VA","Lynchburg","City","Public","Associate degree","Rank over 230",1.21,"30300","27200","37300","0.544",0
"Central Washington University","0.7971","21","1043","0.5458908218","0.0869826035","7719","21522","www.cwu.edu","Far West","WA","Ellensburg","Town","Public","Graduate degree","Rank over 230",2.56,"50100","43300","58100","0.789",38
"Central Wyoming College","NULL","NULL","NULL","0.5747572816","0.1553398058","2856","7128","www.cwc.edu/","Rocky Mountains","WY","Riverton","Town","Public","Associate degree","Rank over 230",3.89,"33100","28700","40300","0.501",2
"Central Yeshiva Beth Joseph","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","11000","11000","centralyeshivabethjoseph.com","Mid East","NY","Brooklyn","City","Private nonprofit","Bachelor's degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Central Yeshiva Tomchei Tmimim Lubavitz","0.9375","NULL","NULL","PrivacySuppressed","PrivacySuppressed","6700","6700","centralyeshiva.com","Mid East","NY","Brooklyn","City","Private nonprofit","Graduate degree","Rank over 230",4.3,"37100","PrivacySuppressed","PrivacySuppressed","0.418",0
"Centralia College","NULL","NULL","NULL","0.5987708516","0.1764705882","4188","4600","www.centralia.edu","Far West","WA","Centralia","Town","Public","Bachelor's degree","Rank over 230",3.11,"35400","30000","44200","0.567",6
"Centre College","0.7426","29","1266","0.4708737864","PrivacySuppressed","39300","39300","www.centre.edu","Southeast","KY","Danville","Town","Private nonprofit","Bachelor's degree","Rank over 230",0.82,"53800","47000","60300","0.826",13
"Centura College-Chesapeake","NULL","NULL","NULL","0.8573529412","0.2169117647","16637","16637","www.centuracollege.edu","Southeast","VA","Chesapeake","Suburb","Private for profit","Associate degree","Rank over 230",1.96,"25000","23300","31100","0.46",0
"Centura College-Columbia","NULL","NULL","NULL","0.5664160401","0.1804511278","15887","15887","www.centuracollege.edu","Southeast","SC","Columbia","Suburb","Private for profit","Associate degree","Rank over 230",2.16,"22000","21800","23400","0.372",0
"Centura College-Newport News","NULL","NULL","NULL","0.8573529412","0.2169117647","15887","15887","www.centuracollege.edu","Southeast","VA","Newport News","City","Private for profit","Associate degree","Rank over 230",1.96,"25000","23300","31100","0.46",0
"Centura College-Norfolk","NULL","NULL","NULL","0.8573529412","0.2169117647","16337","16337","www.centuracollege.edu","Southeast","VA","Norfolk","City","Private for profit","Associate degree","Rank over 230",1.96,"25000","23300","31100","0.46",0
"Centura College-North Charleston","NULL","NULL","NULL","0.5664160401","0.1804511278","15887","15887","www.centuracollege.edu","Southeast","SC","Charlston","City","Private for profit","Certificate degree","Rank over 230",2.16,"22000","21800","23400","0.372",NA
"Centura College-Richmond Main","NULL","NULL","NULL","0.9055944056","0.1258741259","16337","16337","www.centuracollege.edu","Southeast","VA","Richmond","Suburb","Private for profit","Associate degree","Rank over 230",1.69,"24500","24400","25000","0.465",0
"Centura College-Virginia Beach","NULL","NULL","NULL","0.8573529412","0.2169117647","15887","15887","www.centuracollege.edu","Southeast","VA","Virginia Beach","City","Private for profit","Bachelor's degree","Rank over 230",1.96,"25000","23300","31100","0.46",0
"Century College","NULL","NULL","NULL","0.737244898","0.1045918367","6875","6875","www.centurycollege.edu","Outlying Areas","PR","San Juan","City","Private for profit","Certificate degree","Rank over 230",0.9,"40500","36600","46500","0.718",7
"Century College","NULL","NULL","NULL","0.737244898","0.1045918367","6875","6875","www.centurycollege.edu","Outlying Areas","PR","San Juan","City","Private for profit","Certificate degree","Rank over 230",5.5,"20000","PrivacySuppressed","PrivacySuppressed","0.233",7
"Century College","NULL","NULL","NULL","0.5601620205","0.1072194425","5360","5360","https://www.century.edu","Plains","MN","White Bear Lake","Suburb","Public","Associate degree","Rank over 230",0.9,"40500","36600","46500","0.718",7
"Century College","NULL","NULL","NULL","0.5601620205","0.1072194425","5360","5360","https://www.century.edu","Plains","MN","White Bear Lake","Suburb","Public","Associate degree","Rank over 230",5.5,"20000","PrivacySuppressed","PrivacySuppressed","0.233",7
"Cerritos College","NULL","NULL","NULL","0.5529309918","0.0716052436","1346","8598","www.cerritos.edu","Far West","CA","Norwalk","Suburb","Public","Associate degree","Rank over 230",3.47,"36600","33500","41800","0.612",14
"Cerro Coso Community College","NULL","NULL","NULL","0.665089877","0.1977294229","1290","7786","cerrocoso.edu","Far West","CA","Ridgecrest","Rural","Public","Associate degree","Rank over 230",2.57,"34600","28900","44500","0.513",0
"CES College","NULL","NULL","NULL","0.8156682028","0.534562212","NULL","NULL","www.cescollege.edu","Far West","CA","Burbank","City","Private nonprofit","Certificate degree","Rank over 230",3.58,"25600","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"CET-Alexandria","NULL","NULL","NULL","0.3389984825","0.2215477997","NULL","NULL","https://cetweb.edu","Southeast","VA","Alexandria","Suburb","Private nonprofit","Certificate degree","Rank over 230",4.05,"27600","23200","32200","0.435",1
"CET-Coachella","NULL","NULL","NULL","0.3389984825","0.2215477997","NULL","NULL","https://cetweb.edu","Far West","CA","Coachella","Suburb","Private nonprofit","Certificate degree","Rank over 230",4.05,"27600","23200","32200","0.435",0
"CET-Colton","NULL","NULL","NULL","0.3389984825","0.2215477997","NULL","NULL","https://cetweb.edu","Far West","CA","Colton","Suburb","Private nonprofit","Certificate degree","Rank over 230",4.05,"27600","23200","32200","0.435",0
"CET-Durham","NULL","NULL","NULL","0.3389984825","0.2215477997","NULL","NULL","https://cetweb.edu","Southeast","NC","Durham","City","Private nonprofit","Certificate degree","Rank over 230",4.05,"27600","23200","32200","0.435",NA
"CET-El Centro","NULL","NULL","NULL","0.3389984825","0.2215477997","NULL","NULL","https://cetweb.edu","Far West","CA","El Centro","City","Private nonprofit","Certificate degree","Rank over 230",4.05,"27600","23200","32200","0.435",0
"CET-El Paso","NULL","NULL","NULL","0.3389984825","0.2215477997","NULL","NULL","https://cetweb.edu","Southwest","TX","El Paso","City","Private nonprofit","Certificate degree","Rank over 230",4.05,"27600","23200","32200","0.435",0
"CET-Oxnard","NULL","NULL","NULL","0.3389984825","0.2215477997","NULL","NULL","https://cetweb.edu","Far West","CA","Oxnard","City","Private nonprofit","Certificate degree","Rank over 230",4.05,"27600","23200","32200","0.435",0
"CET-Sacramento","NULL","NULL","NULL","0.3389984825","0.2215477997","NULL","NULL","https://cetweb.edu","Far West","CA","Sacramento","City","Private nonprofit","Certificate degree","Rank over 230",4.05,"27600","23200","32200","0.435",0
"CET-Salinas","NULL","NULL","NULL","0.3389984825","0.2215477997","NULL","NULL","https://cetweb.edu","Far West","CA","Salinas","City","Private nonprofit","Certificate degree","Rank over 230",4.05,"27600","23200","32200","0.435",0
"CET-San Diego","NULL","NULL","NULL","0.3389984825","0.2215477997","NULL","NULL","https://www.cetweb.edu","Far West","CA","San Diego","City","Private nonprofit","Certificate degree","Rank over 230",4.05,"27600","23200","32200","0.435",0
"CET-San Jose","NULL","NULL","NULL","0.3389984825","0.2215477997","NULL","NULL","https://cetweb.edu","Far West","CA","San Jose","City","Private nonprofit","Certificate degree","Rank over 230",4.05,"27600","23200","32200","0.435",3
"CET-Santa Maria","NULL","NULL","NULL","0.3389984825","0.2215477997","NULL","NULL","https://www.cetweb.edu","Far West","CA","Santa Maria","City","Private nonprofit","Certificate degree","Rank over 230",4.05,"27600","23200","32200","0.435",0
"CET-Soledad","NULL","NULL","NULL","0.3389984825","0.2215477997","NULL","NULL","https://cetweb.edu","Far West","CA","Soledad","Town","Private nonprofit","Certificate degree","Rank over 230",5.58,"27600","23200","32200","0.435",0
"CET-Watsonville","NULL","NULL","NULL","0.3389984825","0.2215477997","NULL","NULL","https://www.cetweb.edu","Far West","CA","Watsonville","City","Private nonprofit","Certificate degree","Rank over 230",4.05,"27600","23200","32200","0.435",1
"Chabot College","NULL","NULL","NULL","0.5889152341","0.1043272081","1138","6970","www.chabotcollege.edu","Far West","CA","Hayward","City","Public","Associate degree","Rank over 230",2,"41300","38300","45800","0.627",2
"Chadron State College","NULL","NULL","NULL","0.5778611632","0.1332082552","6510","6540","www.csc.edu","Plains","NE","Chadron","Town","Public","Graduate degree","Rank over 230",1.01,"43000","37900","49600","0.73",10
"Chaffey College","NULL","NULL","NULL","0.5981098641","0.0950974601","1169","6521","www.chaffey.edu","Far West","CA","Rancho Cucamonga","Suburb","Public","Associate degree","Rank over 230",3.21,"36700","33500","43500","0.574",13
"Chamberlain University-Arizona","0.8","NULL","NULL","0.8969863014","0.3900821918","19230","19230","www.chamberlain.edu","Southwest","AZ","Phoenix","City","Private for profit","Bachelor's degree","Rank over 230",5.58,"60400","PrivacySuppressed","PrivacySuppressed","0.819",0
"Chamberlain University-California","0","NULL","NULL","0.8969863014","0.3900821918","19230","19230","www.chamberlain.edu","Far West","CA","Rancho Cordova","City","Private for profit","Non-degree-granting","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Chamberlain University-Florida","0.6667","NULL","NULL","0.8969863014","0.3900821918","19230","19230","www.chamberlain.edu","Southeast","FL","Jacksonville","City","Private for profit","Bachelor's degree","Rank over 230",5.58,"60400","PrivacySuppressed","PrivacySuppressed","0.819",1
"Chamberlain University-Georgia","0.5714","NULL","NULL","0.8969863014","0.3900821918","19230","19230","www.chamberlain.edu","Southeast","GA","Atlanta","City","Private for profit","Bachelor's degree","Rank over 230",5.58,"60400","PrivacySuppressed","PrivacySuppressed","0.819",0
"Chamberlain University-Illinois","0.7742","NULL","NULL","0.8969863014","0.3900821918","19230","19230","www.chamberlain.edu","Great Lakes","IL","Addison","Suburb","Private for profit","Graduate degree","Rank over 230",5.58,"60400","PrivacySuppressed","PrivacySuppressed","0.819",0
"Chamberlain University-Indiana","0.4444","NULL","NULL","0.8969863014","0.3900821918","19230","19230","www.chamberlain.edu","Great Lakes","IN","Indianapolis","City","Private for profit","Bachelor's degree","Rank over 230",5.58,"60400","PrivacySuppressed","PrivacySuppressed","0.819",0
"Chamberlain University-Michigan","0.4","NULL","NULL","0.8969863014","0.3900821918","19230","19230","www.chamberlain.edu","Great Lakes","MI","Troy","City","Private for profit","Non-degree-granting","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Chamberlain University-Missouri","0.7778","NULL","NULL","0.8969863014","0.3900821918","19230","19230","www.chamberlain.edu","Plains","MO","St. Louis","Suburb","Private for profit","Bachelor's degree","Rank over 230",5.58,"60400","PrivacySuppressed","PrivacySuppressed","0.819",0
"Chamberlain University-Nevada","0.8333","NULL","NULL","0.8969863014","0.3900821918","19230","19230","www.chamberlain.edu","Far West","NV","Las Vegas","City","Private for profit","Non-degree-granting","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Chamberlain University-New Jersey","0.25","NULL","NULL","0.8969863014","0.3900821918","19230","19230","www.chamberlain.edu","Mid East","NJ","North Brunswick","Suburb","Private for profit","Non-degree-granting","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Chamberlain University-North Carolina","1","NULL","NULL","0.8969863014","0.3900821918","19230","19230","www.chamberlain.edu","Southeast","NC","Charlotte","City","Private for profit","Non-degree-granting","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Chamberlain University-Ohio","0.7917","NULL","NULL","0.8969863014","0.3900821918","19230","19230","www.chamberlain.edu","Great Lakes","OH","Columbus","City","Private for profit","Bachelor's degree","Rank over 230",5.58,"60400","PrivacySuppressed","PrivacySuppressed","0.819",0
"Chamberlain University-Texas","0.6667","NULL","NULL","0.8969863014","0.3900821918","19230","19230","www.chamberlain.edu","Southwest","TX","Houston","City","Private for profit","Bachelor's degree","Rank over 230",5.58,"60400","PrivacySuppressed","PrivacySuppressed","0.819",1
"Chamberlain University-Virginia","0.4444","NULL","NULL","0.8969863014","0.3900821918","19230","19230","www.chamberlain.edu","Southeast","VA","Arlington","City","Private for profit","Bachelor's degree","Rank over 230",5.58,"60400","PrivacySuppressed","PrivacySuppressed","0.819",0
"Chambersburg Beauty School","NULL","NULL","NULL","0.6407506702","0.1662198391","NULL","NULL","www.ChambersburgBeautySchool.com","Mid East","PA","Chambersburg","City","Private for profit","Certificate degree","Rank over 230",0.6,"19800","PrivacySuppressed","PrivacySuppressed","0.333",0
"Chaminade University of Honolulu","0.9133","21","976","0.7130977131","0.2463617464","23310","23310","www.chaminade.edu","Far West","HI","Honolulu","City","Private nonprofit","Graduate degree","Rank over 230",1.71,"41000","39500","45700","0.734",1
"Champ's Barber School","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","champsbarberschool.com","Mid East","PA","Lancaster","City","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Champion Beauty College","NULL","NULL","NULL","PrivacySuppressed","0.1707317073","NULL","NULL","championbeautycollege.com","Southwest","TX","Houston","Suburb","Private for profit","Certificate degree","Rank over 230",5.58,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Champion Institute of Cosmetology","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","www.championcosmetology.com/","Far West","CA","Palm Springs","Suburb","Private for profit","Certificate degree","Rank over 230",5.58,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",0
"Champlain College","0.6995","25","1134","0.4702731655","0.2013926085","38660","38660","www.champlain.edu","New England","VT","Burlington","City","Private nonprofit","Graduate degree","Rank over 230",0.93,"54400","43000","64800","0.772",7
"Chandler-Gilbert Community College","NULL","NULL","NULL","0.5379179125","0.1538461538","2094","7878","www.cgc.maricopa.edu","Southwest","AZ","Chandler","Suburb","Public","Associate degree","Rank over 230",0.85,"45800","36300","56800","0.714",12
"Chapman University","0.5403","28","1225","0.6474741988","0.0086909288","48710","48710","www.chapman.edu","Far West","CA","Orange","City","Private nonprofit","Graduate degree","Rank over 230",2.16,"56600","52300","65100","0.805",13
"Charles A Jones Career and Education Center","NULL","NULL","NULL","0.6195426195","0.237006237","NULL","NULL","www.caj.scusd.edu","Far West","CA","Sacramento","City","Public","Certificate degree","Rank over 230",4.58,"30000","31800","28100","0.513",0
"Charles and Sues School of Hair Design","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","www.charlesandsues.com","Southwest","TX","Bryan","City","Private for profit","Certificate degree","Rank over 230",1.91,"21300","PrivacySuppressed","PrivacySuppressed","0.215",0
